protraits_taxID;protraits_genus;protraits_species;protraits_strain;protraits_speciesStrain;protraits_misclassified;protraits_gram;protraits_substrate;protraits_source
29291;Methanococcoides;Methanococcoides burtonii;;Methanococcoides burtonii;no;;;freeLiving|single
42879;Methanococcus;Methanococcus aeolicus;;Methanococcus aeolicus;no;;;freeLiving
39152;Methanococcus;Methanococcus maripaludis;;Methanococcus maripaludis;no;negative;;intertidalZone|freeLiving
2187;Methanococcus;Methanococcus vannielii;;Methanococcus vannielii;no;;;intertidalZone|freeLiving
2188;Methanococcus;Methanococcus voltae;;Methanococcus voltae;no;;;freeLiving
83984;Methanocorpusculum;Methanocorpusculum labreanum;;Methanocorpusculum labreanum;no;;;freeLiving
83986;Methanoculleus;Methanoculleus bourgensis;;Methanoculleus bourgensis;no;;;freeLiving
2198;Methanoculleus;Methanoculleus marisnigri;;Methanoculleus marisnigri;no;;;freeLiving
62970;Methanogenium;Methanogenium frigidum;;Methanogenium frigidum;no;;;freeLiving
2322;Methanohalobium;Methanohalobium evestigatum;;Methanohalobium evestigatum;no;;;freeLiving|single
2176;Methanohalophilus;Methanohalophilus mahii;;Methanohalophilus mahii;no;;;freeLiving
54120;Methanolacinia;Methanolacinia petrolearia;;Methanolacinia petrolearia;no;;;freeLiving
420950;Methanolobus;Methanolobus psychrophilus;;Methanolobus psychrophilus;no;;;
38026;Methanolobus;Methanolobus vulcani;;Methanolobus vulcani;no;;;
1080712;Methanomassiliicoccus;Methanomassiliicoccus luminyensis;;Methanomassiliicoccus luminyensis;no;;;
101192;Methanomethylovorans;Methanomethylovorans hollandica;;Methanomethylovorans hollandica;no;;;freeLiving
2320;Methanopyrus;Methanopyrus kandleri;;Methanopyrus kandleri;no;;;freeLiving
358766;Methanoregula;Methanoregula boonei;;Methanoregula boonei;no;;;freeLiving
882104;Methanoregula;Methanoregula formicica;;Methanoregula formicica;no;;;freeLiving
2223;Methanosaeta;Methanosaeta concilii;;Methanosaeta concilii;no;;;freeLiving
301375;Methanosaeta;Methanosaeta harundinacea;;Methanosaeta harundinacea;no;;;freeLiving
2224;Methanosaeta;Methanosaeta thermophila;;Methanosaeta thermophila;no;;;freeLiving
39669;Methanosalsum;Methanosalsum zhilinae;;Methanosalsum zhilinae;no;;;freeLiving
2214;Methanosarcina;Methanosarcina acetivorans;;Methanosarcina acetivorans;no;;;freeLiving
2208;Methanosarcina;Methanosarcina barkeri;;Methanosarcina barkeri;no;;;freeLiving
2209;Methanosarcina;Methanosarcina mazei;;Methanosarcina mazei;no;negative;;freeLiving
2317;Methanosphaera;Methanosphaera stadtmanae;;Methanosphaera stadtmanae;no;;;
475088;Methanosphaerula;Methanosphaerula palustris;;Methanosphaerula palustris;no;;;wetlands|freeLiving
2203;Methanospirillum;Methanospirillum hungatei;;Methanospirillum hungatei;no;;;freeLiving
145263;Methanothermobacter;Methanothermobacter marburgensis;;Methanothermobacter marburgensis;no;;;freeLiving
680118;Methanothermobacter;Methanothermobacter tenebrarum;;Methanothermobacter tenebrarum;no;;;
145262;Methanothermobacter;Methanothermobacter thermautotrophicus;;Methanothermobacter thermautotrophicus;no;;;freeLiving|single
155863;Methanothermococcus;Methanothermococcus okinawensis;;Methanothermococcus okinawensis;no;;;freeLiving
2180;Methanothermus;Methanothermus fervidus;;Methanothermus fervidus;no;;;freeLiving
2189;Methanotorris;Methanotorris igneus;;Methanotorris igneus;no;negative;;freeLiving
591154;Methylacidiphilum;Methylacidiphilum fumariolicum;;Methylacidiphilum fumariolicum;no;;;freeLiving
511746;Methylacidiphilum;Methylacidiphilum infernorum;;Methylacidiphilum infernorum;no;negative;;freeLiving
105560;Methylibium;Methylibium petroleiphilum;;Methylibium petroleiphilum;no;negative;α-ketoglutaricAcid;freeLiving
405;Methylobacillus;Methylobacillus flagellatus;;Methylobacillus flagellatus;no;negative;;freeLiving
415;Methylobacter;Methylobacter luteus;;Methylobacter luteus;no;negative;;
34058;Methylobacter;Methylobacter marinus;;Methylobacter marinus;no;negative;;
173365;Methylobacter;Methylobacter tundripaludum;;Methylobacter tundripaludum;no;negative;;
408;Methylobacterium;Methylobacterium extorquens;;Methylobacterium extorquens;no;negative;;
39956;Methylobacterium;Methylobacterium mesophilicum;;Methylobacterium mesophilicum;no;negative;;
114616;Methylobacterium;Methylobacterium nodulans;;Methylobacterium nodulans;no;negative;β-glucosidase;
223967;Methylobacterium;Methylobacterium populi;;Methylobacterium populi;no;negative;glutamate|oxidase;
31998;Methylobacterium;Methylobacterium radiotolerans;;Methylobacterium radiotolerans;no;negative;d-galacturonate|glutamate|glycerol|β-glucosidase|l-arabinose;host|plants
426117;Methylobacterium;Methylobacterium sp. ;apr.46;Methylobacterium sp. 4-46;no;negative;glutamate|β-glucosidase;host|plants
1101192;Methylobacterium;Methylobacterium sp. ;77;Methylobacterium sp. 77;no;negative;;
1096546;Methylobacterium;Methylobacterium sp. ;GXF4;Methylobacterium sp. GXF4;no;negative;glutamate;
73780;Methylocaldum;Methylocaldum szegediense;;Methylocaldum szegediense;no;negative;;
133552;Methylocapsa;Methylocapsa acidiphila;;Methylocapsa acidiphila;no;negative;;
199596;Methylocella;Methylocella silvestris;;Methylocella silvestris;no;negative;;freeLiving
414;Methylococcus;Methylococcus capsulatus;;Methylococcus capsulatus;no;negative;;freeLiving
187303;Methylocystis;Methylocystis sp. ;SC2;Methylocystis sp. SC2;no;negative;;freeLiving
876270;Methyloferula;Methyloferula stellata;;Methyloferula stellata;no;negative;;
244365;Methylohalobius;Methylohalobius crimeensis;;Methylohalobius crimeensis;no;negative;;
39775;Methylomicrobium;Methylomicrobium album;;Methylomicrobium album;no;negative;;
271065;Methylomicrobium;Methylomicrobium alcaliphilum;;Methylomicrobium alcaliphilum;no;negative;esteraseLipaseC8;freeLiving
421;Methylomonas;Methylomonas methanica;;Methylomonas methanica;no;negative;;freeLiving
230105;Methylophaga;Methylophaga aminisulfidivorans;;Methylophaga aminisulfidivorans;no;negative;esteraseLipaseC8;
754477;Methylophaga;Methylophaga frappieri;;Methylophaga frappieri;no;negative;alkalinePhosphatase|esteraseLipaseC8|esteraseC4;freeLiving
754476;Methylophaga;Methylophaga nitratireducenticrescens;;Methylophaga nitratireducenticrescens;no;negative;alkalinePhosphatase|esteraseLipaseC8|esteraseC4;wastewater|freeLiving
392484;Methylophaga;Methylophaga thiooxydans;;Methylophaga thiooxydans;no;negative;;
383631;Methylophilales;Methylophilales bacterium ;HTCC2181;Methylophilales bacterium HTCC2181;no;negative;;
1112273;Methylophilus;Methylophilus sp. ;1;Methylophilus sp. 1;no;negative;;
1115834;Methylophilus;Methylophilus sp. ;42;Methylophilus sp. 42;no;negative;;lentic
1101190;Methylopila;Methylopila sp. ;M107;Methylopila sp. M107;no;negative;;
426;Methylosinus;Methylosinus trichosporium;;Methylosinus trichosporium;no;negative;;
359408;Methylotenera;Methylotenera mobilis;;Methylotenera mobilis;no;negative;esteraseLipaseC8;freeLiving|sediment
1131551;Methylotenera;Methylotenera sp. ;1P/1;Methylotenera sp. 1P/1;no;negative;;
1165096;Methylotenera;Methylotenera sp. ;73s;Methylotenera sp. 73s;no;negative;esteraseLipaseC8;lentic
1055487;Methylotenera;Methylotenera versatilis;;Methylotenera versatilis;no;negative;esteraseLipaseC8;lentic|freeLiving
317575;Methylothermus;Methylothermus thermalis;;Methylothermus thermalis;no;;;
378211;Methyloversatilis;Methyloversatilis universalis;;Methyloversatilis universalis;no;negative;α-ketoglutaricAcid;
266009;Methylovorus;Methylovorus glucosotrophus;;Methylovorus glucosotrophus;no;negative;;lentic|freeLiving|sediment
887061;Methylovorus;Methylovorus sp. ;MP688;Methylovorus sp. MP688;no;negative;esteraseLipaseC8;lentic|freeLiving
645578;Methylovulum;Methylovulum miyakonense;;Methylovulum miyakonense;no;negative;;
349221;Micavibrio;Micavibrio aeruginosavorus;;Micavibrio aeruginosavorus;no;negative;;
159896;Microbacterium;Microbacterium gubbeenense;;Microbacterium gubbeenense;no;;;
404366;Microbacterium;Microbacterium hatanonis;;Microbacterium hatanonis;no;;;
358100;Microbacterium;Microbacterium indicum;;Microbacterium indicum;no;;;
451764;Microbacterium;Microbacterium luticocti;;Microbacterium luticocti;no;;;
1169146;Microbacterium;Microbacterium sp. ;11MF;Microbacterium sp. 11MF;no;;;
712383;Microbacterium;Microbacterium sp. ;oral taxon 186;Microbacterium sp. oral taxon 186;no;;;
1344956;Microbacterium;Microbacterium sp. ;TS-1;Microbacterium sp. TS-1;no;;;
1298860;Microbacterium;Microbacterium sp. ;URHA0036;Microbacterium sp. URHA0036;no;;;
2033;Microbacterium;Microbacterium testaceum;;Microbacterium testaceum;no;;mannitol;
260552;Microbulbifer;Microbulbifer agarilyticus;;Microbulbifer agarilyticus;no;negative;;
1270;Micrococcus;Micrococcus luteus;;Micrococcus luteus;no;positive;;freeLiving
1173027;Microcoleus;Microcoleus sp. ;PCC 7113;Microcoleus sp. PCC 7113;no;negative;;freeLiving
119532;Microcoleus;Microcoleus vaginatus;;Microcoleus vaginatus;no;negative;;freeLiving
1126;Microcystis;Microcystis aeruginosa;;Microcystis aeruginosa;no;negative;;freeLiving
29405;Microlunatus;Microlunatus phosphovorus;;Microlunatus phosphovorus;no;positive;;freeLiving
47850;Micromonospora;Micromonospora aurantiaca;;Micromonospora aurantiaca;no;positive;l-arabinose;freeLiving
1043168;Micromonospora;Micromonospora equina;;Micromonospora equina;no;;;
285679;Micromonospora;Micromonospora lupini;;Micromonospora lupini;no;positive;l-arabinose;freeLiving
648999;Micromonospora;Micromonospora sp. ;L5;Micromonospora sp. L5;no;positive;glycerol|lactose|melibiose|starch|trehalose|l-arabinose|salicin|aesculin;freeLiving
1027;Microscilla;Microscilla marina;;Microscilla marina;no;negative;;
864069;Microvirga;Microvirga lotononidis;;Microvirga lotononidis;no;negative;;
57480;Microvirgula;Microvirgula aerodenitrificans;;Microvirgula aerodenitrificans;no;negative;;
52226;Mitsuokella;Mitsuokella multacida;;Mitsuokella multacida;no;;;
2051;Mobiluncus;Mobiluncus curtisii;;Mobiluncus curtisii;no;;;host
2052;Mobiluncus;Mobiluncus mulieris;;Mobiluncus mulieris;no;;;
477641;Modestobacter;Modestobacter marinus;;Modestobacter marinus;no;;cellobiose|d-malicAcid|sorbitol|l-arabinose|salicin;freeLiving
1155739;Moorea;Moorea producens;;Moorea producens;no;negative;;freeLiving
1525;Moorella;Moorella thermoacetica;;Moorella thermoacetica;no;;;freeLiving
346665;Moraxella;Moraxella boevrei;;Moraxella boevrei;no;negative;;
476;Moraxella;Moraxella bovis;;Moraxella bovis;no;;;host
90240;Moraxella;Moraxella caprae;;Moraxella caprae;no;negative;;
480;Moraxella;Moraxella catarrhalis;;Moraxella catarrhalis;no;negative;;host
765840;Moraxella;Moraxella macacae;;Moraxella macacae;no;negative;;
582;Morganella;Morganella morganii;;Morganella morganii;no;negative;esteraseLipaseC8;
423351;Mucilaginibacter;Mucilaginibacter paludis;;Mucilaginibacter paludis;no;negative;alkalinePhosphatase|melibiose|turanose|n-acetyl-β-glucosaminidase;
516051;Muricauda;Muricauda lutaonensis;;Muricauda lutaonensis;no;;;
111501;Muricauda;Muricauda ruestringensis;;Muricauda ruestringensis;no;negative;dextrin|valineArylamidase;freeLiving
36809;Mycobacterium;Mycobacterium abscessus;;Mycobacterium abscessus;no;positive;;host
33894;Mycobacterium;Mycobacterium africanum;;Mycobacterium africanum;no;positive;;host
1764;Mycobacterium;Mycobacterium avium;;Mycobacterium avium;no;positive;;host
37162;Mycobacterium;Mycobacterium avium ;complex;Mycobacterium avium complex;no;;;host
1765;Mycobacterium;Mycobacterium bovis;;Mycobacterium bovis;no;positive;;host
78331;Mycobacterium;Mycobacterium canettii;;Mycobacterium canettii;no;positive;;host
1800;Mycobacterium;Mycobacterium chubuense;;Mycobacterium chubuense;no;positive;quinicAcid;
339268;Mycobacterium;Mycobacterium colombiense;;Mycobacterium colombiense;no;positive;;host
1776;Mycobacterium;Mycobacterium flavescens;;Mycobacterium flavescens;no;;;
1766;Mycobacterium;Mycobacterium fortuitum;;Mycobacterium fortuitum;no;positive;;
1804;Mycobacterium;Mycobacterium gilvum;;Mycobacterium gilvum;no;positive;quinicAcid;host
35617;Mycobacterium;Mycobacterium indicus ;pranii;Mycobacterium indicus pranii;no;positive;;host
1767;Mycobacterium;Mycobacterium intracellulare;;Mycobacterium intracellulare;no;positive;;host
912594;Mycobacterium;Mycobacterium iranicum;;Mycobacterium iranicum;no;positive;;
1769;Mycobacterium;Mycobacterium leprae;;Mycobacterium leprae;no;positive;;host
261524;Mycobacterium;Mycobacterium liflandii;;Mycobacterium liflandii;no;positive;;host
1781;Mycobacterium;Mycobacterium marinum;;Mycobacterium marinum;no;positive;;host|fish
56689;Mycobacterium;Mycobacterium mucogenicum;;Mycobacterium mucogenicum;no;positive;;host
1795;Mycobacterium;Mycobacterium neoaurum;;Mycobacterium neoaurum;no;positive;;
1305738;Mycobacterium;Mycobacterium orygis;;Mycobacterium orygis;no;positive;;host
240125;Mycobacterium;Mycobacterium parascrofulaceum;;Mycobacterium parascrofulaceum;no;positive;;
1771;Mycobacterium;Mycobacterium phlei;;Mycobacterium phlei;no;positive;;
36814;Mycobacterium;Mycobacterium rhodesiae;;Mycobacterium rhodesiae;no;positive;quinicAcid;
1772;Mycobacterium;Mycobacterium smegmatis;;Mycobacterium smegmatis;no;positive;quinicAcid;
1187065;Mycobacterium;Mycobacterium sp. ;12931;Mycobacterium sp. 012931;no;positive;;host
1120797;Mycobacterium;Mycobacterium sp. ;141;Mycobacterium sp. 141;no;positive;;
1172186;Mycobacterium;Mycobacterium sp. ;360MFTsu5.1;Mycobacterium sp. 360MFTsu5.1;no;positive;;
1168288;Mycobacterium;Mycobacterium sp. ;H4Y;Mycobacterium sp. H4Y;no;positive;;host
875328;Mycobacterium;Mycobacterium sp. ;JDM601;Mycobacterium sp. JDM601;no;positive;;host
164757;Mycobacterium;Mycobacterium sp. ;JLS;Mycobacterium sp. JLS;no;positive;quinicAcid;creosoteContaminatedSoil
189918;Mycobacterium;Mycobacterium sp. ;KMS;Mycobacterium sp. KMS;no;positive;quinicAcid|l-arabinose;terrestrial|soil|creosoteContaminatedSoil
164756;Mycobacterium;Mycobacterium sp. ;MCS;Mycobacterium sp. MCS;no;positive;quinicAcid|l-arabinose;terrestrial|soil|creosoteContaminatedSoil
1168287;Mycobacterium;Mycobacterium sp. ;MOTT36Y;Mycobacterium sp. MOTT36Y;no;positive;;host
1370118;Mycobacterium;Mycobacterium sp. ;UM_RHS;Mycobacterium sp. UM_RHS;no;positive;;
1370120;Mycobacterium;Mycobacterium sp. ;UM_WGJ;Mycobacterium sp. UM_WGJ;no;positive;;
1370121;Mycobacterium;Mycobacterium sp. ;UM_WWY;Mycobacterium sp. UM_WWY;no;positive;;
1298864;Mycobacterium;Mycobacterium sp. ;URHD0025;Mycobacterium sp. URHD0025;no;positive;;
1797;Mycobacterium;Mycobacterium thermoresistibile;;Mycobacterium thermoresistibile;no;positive;;
1773;Mycobacterium;Mycobacterium tuberculosis;;Mycobacterium tuberculosis;no;positive;;host
75922;Mycobacterium;Mycobacterium tusciae;;Mycobacterium tusciae;no;positive;quinicAcid;
1809;Mycobacterium;Mycobacterium ulcerans;;Mycobacterium ulcerans;no;positive;;host
1810;Mycobacterium;Mycobacterium vaccae;;Mycobacterium vaccae;no;positive;;
110539;Mycobacterium;Mycobacterium vanbaalenii;;Mycobacterium vanbaalenii;no;positive;quinicAcid;
1789;Mycobacterium;Mycobacterium xenopi;;Mycobacterium xenopi;no;positive;;
1203599;Mycobacterium;Mycobacterium yongonense;;Mycobacterium yongonense;no;positive;;host
2110;Mycoplasma;Mycoplasma agalactiae;;Mycoplasma agalactiae;no;negative;;host|single
45363;Mycoplasma;Mycoplasma alkalescens;;Mycoplasma alkalescens;no;negative;;host
47687;Mycoplasma;Mycoplasma alligatoris;;Mycoplasma alligatoris;no;negative;;host
2111;Mycoplasma;Mycoplasma arthritidis;;Mycoplasma arthritidis;no;;;host
51363;Mycoplasma;Mycoplasma auris;;Mycoplasma auris;no;negative;;host
28903;Mycoplasma;Mycoplasma bovis;;Mycoplasma bovis;no;negative;;host|single
2095;Mycoplasma;Mycoplasma capricolum;;Mycoplasma capricolum;no;;;host|mammals|foregut|rumen
114881;Mycoplasma;Mycoplasma columbinum;;Mycoplasma columbinum;no;;;host
45361;Mycoplasma;Mycoplasma conjunctivae;;Mycoplasma conjunctivae;no;;;host
50052;Mycoplasma;Mycoplasma crocodyli;;Mycoplasma crocodyli;no;negative;;host
171284;Mycoplasma;Mycoplasma cynos;;Mycoplasma cynos;no;negative;;host|single
2115;Mycoplasma;Mycoplasma fermentans;;Mycoplasma fermentans;no;negative;;host
2128;Mycoplasma;Mycoplasma flocculare;;Mycoplasma flocculare;no;;;host
2096;Mycoplasma;Mycoplasma gallisepticum;;Mycoplasma gallisepticum;no;;;host
2097;Mycoplasma;Mycoplasma genitalium;;Mycoplasma genitalium;no;negative;;host|single
136241;Mycoplasma;Mycoplasma haemocanis;;Mycoplasma haemocanis;no;;;host
29501;Mycoplasma;Mycoplasma haemofelis;;Mycoplasma haemofelis;no;;;host|single
2098;Mycoplasma;Mycoplasma hominis;;Mycoplasma hominis;no;negative;;host|single
2099;Mycoplasma;Mycoplasma hyopneumoniae;;Mycoplasma hyopneumoniae;no;;;host|single
2100;Mycoplasma;Mycoplasma hyorhinis;;Mycoplasma hyorhinis;no;;;host|single
2105;Mycoplasma;Mycoplasma leachii;;Mycoplasma leachii;no;;;host|single|rumen
171287;Mycoplasma;Mycoplasma moatsii;;Mycoplasma moatsii;no;;;host
2118;Mycoplasma;Mycoplasma mobile;;Mycoplasma mobile;no;negative;;host
2102;Mycoplasma;Mycoplasma mycoides;;Mycoplasma mycoides;no;;;host
2121;Mycoplasma;Mycoplasma orale;;Mycoplasma orale;no;negative;;host
29562;Mycoplasma;Mycoplasma ovipneumoniae;;Mycoplasma ovipneumoniae;no;;;host
171632;Mycoplasma;Mycoplasma ovis;;Mycoplasma ovis;no;;;
984991;Mycoplasma;Mycoplasma parvum;;Mycoplasma parvum;no;;;host
28227;Mycoplasma;Mycoplasma penetrans;;Mycoplasma penetrans;no;negative;;host|single
2104;Mycoplasma;Mycoplasma pneumoniae;;Mycoplasma pneumoniae;no;negative;glycerol;host
2107;Mycoplasma;Mycoplasma pulmonis;;Mycoplasma pulmonis;no;negative;;host
2123;Mycoplasma;Mycoplasma putrefaciens;;Mycoplasma putrefaciens;no;;;host
57372;Mycoplasma;Mycoplasma suis;;Mycoplasma suis;no;;;host
2109;Mycoplasma;Mycoplasma synoviae;;Mycoplasma synoviae;no;negative;;host
65123;Mycoplasma;Mycoplasma wenyonii;;Mycoplasma wenyonii;no;negative;;blood|host|single
51365;Mycoplasma;Mycoplasma yeatsii;;Mycoplasma yeatsii;no;;;host
76832;Myroides;Myroides odoratimimus;;Myroides odoratimimus;no;negative;dextrin;
256;Myroides;Myroides odoratus;;Myroides odoratus;no;negative;dextrin;
33;Myxococcus;Myxococcus fulvus;;Myxococcus fulvus;no;negative;;freeLiving
1297742;Myxococcus;Myxococcus sp. ;(contaminant ex DSM 436);Myxococcus sp. (contaminant ex DSM 436);no;negative;;freeLiving
83455;Myxococcus;Myxococcus stipitatus;;Myxococcus stipitatus;no;negative;;freeLiving
34;Myxococcus;Myxococcus xanthus;;Myxococcus xanthus;no;negative;;freeLiving
459515;Nakamurella;Nakamurella lactea;;Nakamurella lactea;no;;;
53461;Nakamurella;Nakamurella multipartita;;Nakamurella multipartita;no;positive;d-malicAcid|l-arabinose;freeLiving
1294122;nanoarchaeote;nanoarchaeote Nst1;;nanoarchaeote Nst1;no;negative;;
160232;Nanoarchaeum;Nanoarchaeum equitans;;Nanoarchaeum equitans;no;negative;;freeLiving
53024;Nanobacterium;Nanobacterium sanguineum;;Nanobacterium sanguineum;no;;;
375929;Natranaerobius;Natranaerobius thermophilus;;Natranaerobius thermophilus;no;;;freeLiving
64602;Natrialba;Natrialba asiatica;;Natrialba asiatica;no;negative;oxidase;freeLiving
13769;Natrialba;Natrialba magadii;;Natrialba magadii;no;negative;oxidase;freeLiving
160846;Natrialba;Natrialba taiwanensis;;Natrialba taiwanensis;no;negative;oxidase;freeLiving
69525;Natrinema;Natrinema pellirubrum;;Natrinema pellirubrum;no;;;freeLiving
406552;Natrinema;Natrinema sp. ;J7-2;Natrinema sp. J7-2;no;negative;catalase|oxidase;freeLiving
44930;Natronobacterium;Natronobacterium gregoryi;;Natronobacterium gregoryi;no;negative;;freeLiving
29288;Natronococcus;Natronococcus occultus;;Natronococcus occultus;no;negative;catalase|oxidase;freeLiving
1052014;Natronococcus;Natronococcus roseus;;Natronococcus roseus;no;;;freeLiving
416273;Natronomonas;Natronomonas moolapensis;;Natronomonas moolapensis;no;negative;oxidase;freeLiving
2257;Natronomonas;Natronomonas pharaonis;;Natronomonas pharaonis;no;negative;oxidase;freeLiving
388259;Natronorubrum;Natronorubrum sulfidifaciens;;Natronorubrum sulfidifaciens;no;;;freeLiving
244787;Nautilia;Nautilia profundicola;;Nautilia profundicola;no;negative;;freeLiving
483;Neisseria;Neisseria cinerea;;Neisseria cinerea;no;negative;glutamate|α-ketoglutaricAcid|α-hydroxybutyricAcid;host
495;Neisseria;Neisseria elongata;;Neisseria elongata;no;;α-ketoglutaricAcid;host
484;Neisseria;Neisseria flavescens;;Neisseria flavescens;no;negative;α-ketoglutaricAcid;host
485;Neisseria;Neisseria gonorrhoeae;;Neisseria gonorrhoeae;no;negative;esteraseLipaseC8|α-ketoglutaricAcid|α-hydroxybutyricAcid;host
486;Neisseria;Neisseria lactamica;;Neisseria lactamica;no;negative;esteraseLipaseC8|glutamate|α-ketoglutaricAcid|α-hydroxybutyricAcid;host
487;Neisseria;Neisseria meningitidis;;Neisseria meningitidis;no;negative;esteraseLipaseC8|esteraseC4|catalase|α-ketoglutaricAcid|α-hydroxybutyricAcid;host|nasopharyngeal
488;Neisseria;Neisseria mucosa;;Neisseria mucosa;no;negative;glutamate|α-ketoglutaricAcid;
490;Neisseria;Neisseria sicca;;Neisseria sicca;no;negative;glutamate|α-ketoglutaricAcid|α-hydroxybutyricAcid;host
641148;Neisseria;Neisseria sp. ;oral taxon 014;Neisseria sp. oral taxon 014;no;negative;glutamate|α-ketoglutaricAcid;host
28449;Neisseria;Neisseria subflava;;Neisseria subflava;no;negative;glutamate|α-ketoglutaricAcid|α-hydroxybutyricAcid;host
28091;Neisseria;Neisseria weaveri;;Neisseria weaveri;no;negative;α-ketoglutaricAcid;
950;Neorickettsia;Neorickettsia risticii;;Neorickettsia risticii;no;negative;;host
951;Neorickettsia;Neorickettsia sennetsu;;Neorickettsia sennetsu;no;negative;;host|blood
515814;Nesterenkonia;Nesterenkonia alba;;Nesterenkonia alba;no;;;
795955;Nesterenkonia;Nesterenkonia sp. ;F;Nesterenkonia sp. F;no;;;
64002;Nevskia;Nevskia ramosa;;Nevskia ramosa;no;negative;;
446683;Niabella;Niabella soli;;Niabella soli;no;negative;;
354356;Niastella;Niastella koreensis;;Niastella koreensis;no;negative;alkalinePhosphatase|d-xylose|esteraseC4|valineArylamidase|n-acetyl-β-glucosaminidase|α-fucosidase;freeLiving
390877;Nisaea;Nisaea denitrificans;;Nisaea denitrificans;no;negative;;
269261;Nitratifractor;Nitratifractor salsuginis;;Nitratifractor salsuginis;no;negative;;freeLiving
204799;Nitratireductor;Nitratireductor aquibiodomus;;Nitratireductor aquibiodomus;no;negative;;
721133;Nitratireductor;Nitratireductor indicus;;Nitratireductor indicus;no;negative;;
1231180;Nitratireductor;Nitratireductor pacificus;;Nitratireductor pacificus;no;negative;;
387092;Nitratiruptor;Nitratiruptor sp. ;SB155-2;Nitratiruptor sp. SB155-2;no;negative;;
912;Nitrobacter;Nitrobacter hamburgensis;;Nitrobacter hamburgensis;no;negative;d-xylose|turanose;freeLiving
314253;Nitrobacter;Nitrobacter sp. ;Nb-311A;Nitrobacter sp. Nb-311A;no;negative;;
913;Nitrobacter;Nitrobacter winogradskyi;;Nitrobacter winogradskyi;no;negative;;freeLiving
35797;Nitrococcus;Nitrococcus mobilis;;Nitrococcus mobilis;no;negative;α-ketoglutaricAcid;freeLiving
133539;Nitrosococcus;Nitrosococcus halophilus;;Nitrosococcus halophilus;no;negative;;freeLiving
1229;Nitrosococcus;Nitrosococcus oceani;;Nitrosococcus oceani;no;negative;esteraseLipaseC8;freeLiving
473531;Nitrosococcus;Nitrosococcus watsonii;;Nitrosococcus watsonii;no;negative;;freeLiving
915;Nitrosomonas;Nitrosomonas europaea;;Nitrosomonas europaea;no;negative;;freeLiving
916;Nitrosomonas;Nitrosomonas eutropha;;Nitrosomonas eutropha;no;negative;;wastewater|freeLiving
153948;Nitrosomonas;Nitrosomonas sp. ;AL212;Nitrosomonas sp. AL212;no;negative;;freeLiving
261292;Nitrosomonas;Nitrosomonas sp. ;Is79A3;Nitrosomonas sp. Is79A3;no;negative;;freeLiving
338192;Nitrosopumilus;Nitrosopumilus maritimus;;Nitrosopumilus maritimus;no;;;freeLiving
1034015;Nitrososphaera;Nitrososphaera viennensis;;Nitrososphaera viennensis;no;;;freeLiving
1231;Nitrosospira;Nitrosospira multiformis;;Nitrosospira multiformis;no;negative;;freeLiving
35801;Nitrospina;Nitrospina gracilis;;Nitrospina gracilis;no;negative;;
1824;Nocardia;Nocardia asteroides;;Nocardia asteroides;no;positive;;host
37326;Nocardia;Nocardia brasiliensis;;Nocardia brasiliensis;no;positive;glutamate;host
135487;Nocardia;Nocardia cyriacigeorgica;;Nocardia cyriacigeorgica;no;positive;;host
37329;Nocardia;Nocardia farcinica;;Nocardia farcinica;no;positive;l-arabinose;host
1172185;Nocardia;Nocardia sp. ;348MFTsu5.1;Nocardia sp. 348MFTsu5.1;no;positive;quinicAcid;
281714;Nocardioides;Nocardioides alkalitolerans;;Nocardioides alkalitolerans;no;positive;l-arabinose;freeLiving
433660;Nocardioides;Nocardioides halotolerans;;Nocardioides halotolerans;no;positive;l-arabinose;freeLiving
110319;Nocardioides;Nocardioides sp. ;CF8;Nocardioides sp. CF8;no;positive;;
196162;Nocardioides;Nocardioides sp. ;JS614;Nocardioides sp. JS614;no;positive;l-arabinose;freeLiving
53437;Nocardiopsis;Nocardiopsis alba;;Nocardiopsis alba;no;positive;;freeLiving
2014;Nocardiopsis;Nocardiopsis dassonvillei;;Nocardiopsis dassonvillei;no;positive;β-glucosidase|l-arabinose;freeLiving
70799;Nodularia;Nodularia spumigena;;Nodularia spumigena;no;;;freeLiving
328515;Nonlabens;Nonlabens dokdonensis;;Nonlabens dokdonensis;no;negative;dextrin;freeLiving
331648;Nonlabens;Nonlabens spongiae;;Nonlabens spongiae;no;;;
1178;Nostoc;Nostoc commune;;Nostoc commune;no;;;
272131;Nostoc;Nostoc punctiforme;;Nostoc punctiforme;no;negative;;freeLiving
317936;Nostoc;Nostoc sp. ;PCC 7107;Nostoc sp. PCC 7107;no;negative;;freeLiving
103690;Nostoc;Nostoc sp. ;PCC 7120;Nostoc sp. PCC 7120;no;negative;;freeLiving
28072;Nostoc;Nostoc sp. ;PCC 7524;Nostoc sp. PCC 7524;no;negative;;freeLiving
505248;Novosphingobium;Novosphingobium acidiphilum;;Novosphingobium acidiphilum;no;negative;;
48935;Novosphingobium;Novosphingobium aromaticivorans;;Novosphingobium aromaticivorans;no;negative;;freeLiving
378548;Novosphingobium;Novosphingobium nitrogenifigens;;Novosphingobium nitrogenifigens;no;negative;;
205844;Novosphingobium;Novosphingobium pentaromativorans;;Novosphingobium pentaromativorans;no;negative;;
702113;Novosphingobium;Novosphingobium sp. ;PP1Y;Novosphingobium sp. PP1Y;no;negative;;freeLiving
