patric_taxID;patric_genus;patric_species;patric_strain;patric_speciesStrain;patric_gram;patric_oxygen
575607;Lactobacillus;Lactobacillus jensenii;SJ-7A-US;Lactobacillus jensenii SJ-7A-US;positive;microaerophilic
525330;Lactobacillus;Lactobacillus johnsonii;ATCC 33200;Lactobacillus johnsonii ATCC 33200;positive;microaerophilic
633699;Lactobacillus;Lactobacillus johnsonii;FI9785;Lactobacillus johnsonii FI9785;positive;microaerophilic
1408186;Lactobacillus;Lactobacillus johnsonii;N6.2;Lactobacillus johnsonii N6.2;positive;
257314;Lactobacillus;Lactobacillus johnsonii;NCC 533;Lactobacillus johnsonii NCC 533;positive;facultative
537973;Lactobacillus;Lactobacillus paracasei;paracasei 8700:2;Lactobacillus paracasei subsp. paracasei 8700:2;positive;facultative
525337;Lactobacillus;Lactobacillus paracasei;paracasei ATCC 25302;Lactobacillus paracasei subsp. paracasei ATCC 25302;positive;microaerophilic
1136177;Lactobacillus;Lactobacillus pentosus;KCA1;Lactobacillus pentosus KCA1;positive;
1327988;Lactobacillus;Lactobacillus plantarum;16;Lactobacillus plantarum 16;positive;
1385856;Lactobacillus;Lactobacillus plantarum;2025;Lactobacillus plantarum 2025;positive;
1385855;Lactobacillus;Lactobacillus plantarum;2165;Lactobacillus plantarum 2165;positive;
1358413;Lactobacillus;Lactobacillus plantarum;AY01;Lactobacillus plantarum AY01;;
1328309;Lactobacillus;Lactobacillus plantarum;IPLA88;Lactobacillus plantarum IPLA88;positive;facultative
644042;Lactobacillus;Lactobacillus plantarum;JDM1;Lactobacillus plantarum JDM1;;microaerophilic
1403542;Lactobacillus;Lactobacillus plantarum;LP91;Lactobacillus plantarum LP91;positive;
525338;Lactobacillus;Lactobacillus plantarum;plantarum ATCC 14917;Lactobacillus plantarum subsp. plantarum ATCC 14917;positive;microaerophilic
1284223;Lactobacillus;Lactobacillus plantarum;UCMA 3037;Lactobacillus plantarum UCMA 3037;positive;facultative
220668;Lactobacillus;Lactobacillus plantarum;WCFS1;Lactobacillus plantarum WCFS1;positive;facultative
1284663;Lactobacillus;Lactobacillus plantarum;ZJ316;Lactobacillus plantarum ZJ316;positive;
1122152;Lactobacillus;Lactobacillus psittaci;DSM 15354;Lactobacillus psittaci DSM 15354;positive;
525341;Lactobacillus;Lactobacillus reuteri;CF48-3A;Lactobacillus reuteri CF48-3A;positive;microaerophilic
557436;Lactobacillus;Lactobacillus reuteri;DSM 20016;Lactobacillus reuteri DSM 20016;positive;facultative
1340495;Lactobacillus;Lactobacillus reuteri;I5007;Lactobacillus reuteri I5007;positive;anaerobic
557433;Lactobacillus;Lactobacillus reuteri;JCM 1112;Lactobacillus reuteri JCM 1112;positive;facultative
585517;Lactobacillus;Lactobacillus reuteri;MM2-3;Lactobacillus reuteri MM2-3;positive;microaerophilic
548485;Lactobacillus;Lactobacillus reuteri;MM4-1A;Lactobacillus reuteri MM4-1A;positive;microaerophilic
491077;Lactobacillus;Lactobacillus reuteri;SD2112;Lactobacillus reuteri SD2112;positive;facultative
1381116;Lactobacillus;Lactobacillus rhamnosus;2166;Lactobacillus rhamnosus 2166;positive;
1286405;Lactobacillus;Lactobacillus rhamnosus;CRL1505;Lactobacillus rhamnosus CRL1505;positive;
568703;Lactobacillus;Lactobacillus rhamnosus;GG;Lactobacillus rhamnosus GG;positive;facultative
486408;Lactobacillus;Lactobacillus rhamnosus;HN001;Lactobacillus rhamnosus HN001;positive;facultative
568704;Lactobacillus;Lactobacillus rhamnosus;Lc 705;Lactobacillus rhamnosus Lc 705;positive;facultative
525361;Lactobacillus;Lactobacillus rhamnosus;LMS2-1;Lactobacillus rhamnosus LMS2-1;positive;facultative
1316933;Lactobacillus;Lactobacillus rhamnosus;LOCK900;Lactobacillus rhamnosus LOCK900;positive;
1318634;Lactobacillus;Lactobacillus rhamnosus;LOCK908;Lactobacillus rhamnosus LOCK908;positive;
525362;Lactobacillus;Lactobacillus ruminis;ATCC 25644;Lactobacillus ruminis ATCC 25644;positive;microaerophilic
1122153;Lactobacillus;Lactobacillus saerimneri;DSM 16049;Lactobacillus saerimneri DSM 16049;positive;
314315;Lactobacillus;Lactobacillus sakei;sakei 23K;Lactobacillus sakei subsp. sakei 23K;positive;facultative
1423799;Lactobacillus;Lactobacillus salivarius;ATCC 11741;Lactobacillus salivarius ATCC 11741;positive;facultative
712961;Lactobacillus;Lactobacillus salivarius;CECT 5713;Lactobacillus salivarius CECT 5713;positive;facultative
362948;Lactobacillus;Lactobacillus salivarius;UCC118;Lactobacillus salivarius UCC118;positive;facultative
525365;Lactobacillus;Lactobacillus ultunensis;DSM 16047;Lactobacillus ultunensis DSM 16047;positive;microaerophilic
1423814;Lactobacillus;Lactobacillus vaginalis;ATCC 49540;Lactobacillus vaginalis ATCC 49540;positive;microaerophilic
1231377;Lactobacillus;Lactococcus garvieae;DCC43;Lactococcus garvieae DCC43;positive;
1229517;Lactococcus;Lactococcus garvieae;I113;Lactococcus garvieae I113;positive;
1181234;Lactococcus;Lactococcus garvieae;IPLA 31405;Lactococcus garvieae IPLA 31405;positive;facultative
420890;Lactococcus;Lactococcus garvieae;Lg2;Lactococcus garvieae Lg2;positive;facultative
1229518;Lactococcus;Lactococcus garvieae;Tac2;Lactococcus garvieae Tac2;positive;
1380772;Lactococcus;Lactococcus garvieae;TRF1;Lactococcus garvieae TRF1;positive;
416870;Lactococcus;Lactococcus lactis;cremoris MG1363;Lactococcus lactis subsp. cremoris MG1363;positive;facultative
746361;Lactococcus;Lactococcus lactis;cremoris NZ9000;Lactococcus lactis subsp. cremoris NZ9000;positive;facultative
272622;Lactococcus;Lactococcus lactis;cremoris SK11;Lactococcus lactis subsp. cremoris SK11;positive;facultative
1234871;Lactococcus;Lactococcus lactis;cremoris TIFN1;Lactococcus lactis subsp. cremoris TIFN1;positive;
1234873;Lactococcus;Lactococcus lactis;cremoris TIFN3;Lactococcus lactis subsp. cremoris TIFN3;positive;
1234875;Lactococcus;Lactococcus lactis;cremoris TIFN5;Lactococcus lactis subsp. cremoris TIFN5;positive;
1234876;Lactococcus;Lactococcus lactis;cremoris TIFN6;Lactococcus lactis subsp. cremoris TIFN6;positive;
1234877;Lactococcus;Lactococcus lactis;cremoris TIFN7;Lactococcus lactis subsp. cremoris TIFN7;positive;
1111678;Lactococcus;Lactococcus lactis;cremoris UC509.9;Lactococcus lactis subsp. cremoris UC509.9;positive;
1137134;Lactococcus;Lactococcus lactis;lactis A12;Lactococcus lactis subsp. lactis A12;positive;microaerophilic
1234601;Lactococcus;Lactococcus lactis;lactis bv. diacetylactis TIFN2;Lactococcus lactis subsp. lactis bv. diacetylactis str. TIFN2;positive;
1283280;Lactococcus;Lactococcus lactis;lactis bv. diacetylactis TIFN4;Lactococcus lactis subsp. lactis bv. diacetylactis str. TIFN4;positive;
272623;Lactococcus;Lactococcus lactis;lactis Il1403;Lactococcus lactis subsp. lactis Il1403;positive;facultative
684738;Lactococcus;Lactococcus lactis;lactis KF147;Lactococcus lactis subsp. lactis KF147;positive;
1117941;Lactococcus;Lactococcus lactis;lactis NCDO 2118;Lactococcus lactis subsp. lactis NCDO 2118;positive;facultative
557598;Lactococcus;Laribacter hongkongensis;HLHK9;Laribacter hongkongensis HLHK9;negative;anaerobic
1234378;Laribacter;Lawsonia intracellularis;N343;Lawsonia intracellularis N343;negative;microaerophilic
363253;Lawsonia;Lawsonia intracellularis;PHE/MN1-00;Lawsonia intracellularis PHE/MN1-00;negative;facultative
649349;Lawsonia;Leadbetterella byssophila;DSM 17132;Leadbetterella byssophila DSM 17132;negative;aerobic
658187;Leadbetterella;Legionella drancourtii;LLAP12;Legionella drancourtii LLAP12;negative;
638315;Legionella;Legionella longbeachae;D-4968;Legionella longbeachae D-4968;negative;aerobic
1122165;Legionella;Legionella moravica;DSM 19234;Legionella moravica DSM 19234;negative;
423212;Legionella;Legionella pneumophila;2300/99 Alcoy;Legionella pneumophila 2300/99 Alcoy;negative;aerobic
1370127;Legionella;Legionella pneumophila;Leg01/16;Legionella pneumophila Leg01/16;negative;
1383063;Legionella;Legionella pneumophila;121004;Legionella pneumophila str. 121004;negative;
400673;Legionella;Legionella pneumophila;Corby;Legionella pneumophila str. Corby;negative;aerobic
1383066;Legionella;Legionella pneumophila;Leg01/11;Legionella pneumophila str. Leg01/11;negative;
1383064;Legionella;Legionella pneumophila;Leg01/20;Legionella pneumophila str. Leg01/20;negative;
1383065;Legionella;Legionella pneumophila;Leg01/53;Legionella pneumophila str. Leg01/53;negative;
297245;Legionella;Legionella pneumophila;Lens;Legionella pneumophila str. Lens;negative;aerobic
297246;Legionella;Legionella pneumophila;Paris;Legionella pneumophila str. Paris;negative;aerobic
1312904;Legionella;Legionella pneumophila;pneumophila LPE509;Legionella pneumophila subsp. pneumophila LPE509;negative;
272624;Legionella;Legionella pneumophila;pneumophila Philadelphia 1;Legionella pneumophila subsp. pneumophila str. Philadelphia 1;negative;aerobic
1199191;Legionella;Legionella pneumophila;pneumophila Thunder Bay;Legionella pneumophila subsp. pneumophila str. Thunder Bay;negative;aerobic
1382367;Legionella;Legionella pneumophila;W1046;Legionella pneumophila W1046;negative;
1348338;Legionella;Leifsonia rubra;CMS 76R;Leifsonia rubra CMS 76R;positive;
1150399;Leifsonia;Leifsonia sp.;109;Leifsonia sp. 109;positive;
281090;Leifsonia;Leifsonia xyli;xyli CTCB07;Leifsonia xyli subsp. xyli str. CTCB07;negative;aerobic
313628;Leifsonia;Lentisphaera araneosa;HTCC2155;Lentisphaera araneosa HTCC2155;negative;
272134;Lentisphaera;Leptolyngbya boryana;PCC 6306;Leptolyngbya boryana PCC 6306;negative;aerobic
1385935;Leptolyngbya;Leptolyngbya sp.;Heron Island J;Leptolyngbya sp. Heron Island J;;
1173264;Leptolyngbya;Leptolyngbya sp.;PCC 6406;Leptolyngbya sp. PCC 6406;negative;
102129;Leptolyngbya;Leptolyngbya sp.;PCC 7375;Leptolyngbya sp. PCC 7375;negative;aerobic
111781;Leptolyngbya;Leptolyngbya sp.;PCC 7376;Leptolyngbya sp. PCC 7376;negative;aerobic
355278;Leptolyngbya;Leptospira biflexa;serovar Patoc strain 'Patoc 1 (Ames)';Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)';negative;aerobic
456481;Leptospira;Leptospira biflexa;serovar Patoc strain 'Patoc 1 (Paris)';Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)';negative;aerobic
355277;Leptospira;Leptospira borgpetersenii;serovar Hardjo-bovis JB197;Leptospira borgpetersenii serovar Hardjo-bovis JB197;negative;aerobic
355276;Leptospira;Leptospira borgpetersenii;serovar Hardjo-bovis L550;Leptospira borgpetersenii serovar Hardjo-bovis L550;negative;aerobic
267671;Leptospira;Leptospira interrogans;serovar Copenhageni Fiocruz L1-130;Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130;;aerobic
189518;Leptospira;Leptospira interrogans;serovar Lai 56601;Leptospira interrogans serovar Lai str. 56601;;aerobic
573825;Leptospira;Leptospira interrogans;serovar Lai IPAV;Leptospira interrogans serovar Lai str. IPAV;;aerobic
1408446;Leptospira;Leptospira licerasiae;ATCC BAA-1110;Leptospira licerasiae ATCC BAA-1110;negative;
758847;Leptospira;Leptospira santarosai;serovar Shermani LT 821;Leptospira santarosai serovar Shermani str. LT 821;negative;
395495;Leptospira;Leptothrix cholodnii;SP-6;Leptothrix cholodnii SP-6;;aerobic
523794;Leptothrix;Leptotrichia buccalis;C-1013-b;Leptotrichia buccalis C-1013-b;negative;anaerobic
714315;Leptotrichia;Leptotrichia goodfellowii;DSM 19756;Leptotrichia goodfellowii DSM 19756;negative;anaerobic
596323;Leptotrichia;Leptotrichia goodfellowii;F0264;Leptotrichia goodfellowii F0264;negative;anaerobic
1122171;Leptotrichia;Leptotrichia hofstadii;DSM 21651;Leptotrichia hofstadii DSM 21651;negative;
634994;Leptotrichia;Leptotrichia hofstadii;F0254;Leptotrichia hofstadii F0254;negative;anaerobic
1122172;Leptotrichia;Leptotrichia shahii;DSM 19757;Leptotrichia shahii DSM 19757;negative;
1122174;Leptotrichia;Leptotrichia wadei;DSM 19758;Leptotrichia wadei DSM 19758;negative;facultative
1122175;Leptotrichia;Leucobacter chironomi;DSM 19883;Leucobacter chironomi DSM 19883;positive;
349519;Leucobacter;Leuconostoc citreum;KM20;Leuconostoc citreum KM20;positive;facultative
586220;Leuconostoc;Leuconostoc mesenteroides;cremoris ATCC 19254;Leuconostoc mesenteroides subsp. cremoris ATCC 19254;positive;aerobic
1234889;Leuconostoc;Leuconostoc mesenteroides;cremoris TIFN8;Leuconostoc mesenteroides subsp. cremoris TIFN8;positive;
203120;Leuconostoc;Leuconostoc mesenteroides;mesenteroides ATCC 8293;Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293;positive;facultative
998674;Leuconostoc;Leucothrix mucor;DSM 2157;Leucothrix mucor DSM 2157;negative;
1122176;Leucothrix;Lewinella cohaerens;DSM 23179;Lewinella cohaerens DSM 23179;negative;aerobic
1122179;Lewinella;Lewinella persica;DSM 23188;Lewinella persica DSM 23188;negative;aerobic
1100720;Lewinella;Limnohabitans sp.;Rim28;Limnohabitans sp. Rim28;negative;aerobic
1100721;Limnohabitans;Limnohabitans sp.;Rim47;Limnohabitans sp. Rim47;negative;aerobic
1265822;Limnohabitans;Listeria fleischmannii;FSL S10-1203;Listeria fleischmannii FSL S10-1203;positive;
1214117;Listeria;Listeria fleischmannii;LU2006-1;Listeria fleischmannii LU2006-1;positive;
525367;Listeria;Listeria grayi;DSM 20601;Listeria grayi DSM 20601;positive;aerobic
1265827;Listeria;Listeria grayi;FSL F6-1183;Listeria grayi FSL F6-1183;positive;
272626;Listeria;Listeria innocua;Clip11262;Listeria innocua Clip11262;positive;facultative
702455;Listeria;Listeria innocua;FSL J1-023;Listeria innocua FSL J1-023;positive;facultative
702456;Listeria;Listeria innocua;FSL S4-378;Listeria innocua FSL S4-378;positive;facultative
881621;Listeria;Listeria ivanovii;;Listeria ivanovii;positive;facultative
702454;Listeria;Listeria ivanovii;FSL F6-596;Listeria ivanovii FSL F6-596;positive;facultative
1457190;Listeria;Listeria ivanovii;WSLC3009;Listeria ivanovii WSLC3009;positive;facultative
702457;Listeria;Listeria marthii;FSL S4-120;Listeria marthii FSL S4-120;positive;aerobic
653938;Listeria;Listeria monocytogenes;;Listeria monocytogenes;positive;facultative
1126011;Listeria;Listeria monocytogenes;07PF0776;Listeria monocytogenes 07PF0776;positive;
637381;Listeria;Listeria monocytogenes;08-5923;Listeria monocytogenes 08-5923;positive;facultative
393133;Listeria;Listeria monocytogenes;10403S;Listeria monocytogenes 10403S;positive;facultative
1380708;Listeria;Listeria monocytogenes;36-25-1;Listeria monocytogenes 36-25-1;positive;facultative
169963;Listeria;Listeria monocytogenes;EGD-e;Listeria monocytogenes EGD-e;positive;facultative
393128;Listeria;Listeria monocytogenes;F6900;Listeria monocytogenes F6900;positive;facultative
393127;Listeria;Listeria monocytogenes;Finland 1988;Listeria monocytogenes Finland 1988;negative;facultative
702458;Listeria;Listeria monocytogenes;FSL F2-208;Listeria monocytogenes FSL F2-208;positive;facultative
393116;Listeria;Listeria monocytogenes;FSL F2-515;Listeria monocytogenes FSL F2-515;positive;facultative
393118;Listeria;Listeria monocytogenes;FSL J1-175;Listeria monocytogenes FSL J1-175;positive;facultative
393117;Listeria;Listeria monocytogenes;FSL J1-194;Listeria monocytogenes FSL J1-194;positive;facultative
393119;Listeria;Listeria monocytogenes;FSL J1-208;Listeria monocytogenes FSL J1-208;positive;facultative
393120;Listeria;Listeria monocytogenes;FSL J2-003;Listeria monocytogenes FSL J2-003;positive;facultative
393121;Listeria;Listeria monocytogenes;FSL J2-071;Listeria monocytogenes FSL J2-071;positive;facultative
393123;Listeria;Listeria monocytogenes;FSL N1-017;Listeria monocytogenes FSL N1-017;negative;facultative
393124;Listeria;Listeria monocytogenes;FSL N3-165;Listeria monocytogenes FSL N3-165;negative;facultative
393125;Listeria;Listeria monocytogenes;FSL R2-503;Listeria monocytogenes FSL R2-503;negative;facultative
393126;Listeria;Listeria monocytogenes;FSL R2-561;Listeria monocytogenes FSL R2-561;negative;facultative
552536;Listeria;Listeria monocytogenes;HCC23;Listeria monocytogenes HCC23;positive;facultative
401650;Listeria;Listeria monocytogenes;HPB2262;Listeria monocytogenes HPB2262;positive;facultative
393130;Listeria;Listeria monocytogenes;J0161;Listeria monocytogenes J0161;positive;facultative
393131;Listeria;Listeria monocytogenes;J2818;Listeria monocytogenes J2818;positive;facultative
393132;Listeria;Listeria monocytogenes;LO28;Listeria monocytogenes LO28;positive;facultative
267409;Listeria;Listeria monocytogenes;serotype 1/2a F6854;Listeria monocytogenes serotype 1/2a str. F6854;positive;facultative
1293288;Listeria;Listeria monocytogenes;serotype 1/2a NCCP No. 15743;Listeria monocytogenes serotype 1/2a str. NCCP No. 15743;positive;
265669;Listeria;Listeria monocytogenes;serotype 4b F2365;Listeria monocytogenes serotype 4b str. F2365;positive;facultative
267410;Listeria;Listeria monocytogenes;serotype 4b H7858;Listeria monocytogenes serotype 4b str. H7858;positive;facultative
1391464;Listeria;Listeria monocytogenes;serotype 4bV LS542;Listeria monocytogenes serotype 4bV str. LS542;positive;
1457187;Listeria;Listeria monocytogenes;WSLC1001;Listeria monocytogenes WSLC1001;positive;facultative
1457188;Listeria;Listeria monocytogenes;WSLC1042;Listeria monocytogenes WSLC1042;positive;facultative
1265846;Listeria;Listeria rocourtiae;FSL F6-920;Listeria rocourtiae FSL F6-920;positive;
702453;Listeria;Listeria seeligeri;FSL N1-067;Listeria seeligeri FSL N1-067;positive;facultative
702452;Listeria;Listeria seeligeri;FSL S4-171;Listeria seeligeri FSL S4-171;positive;facultative
683837;Listeria;Listeria seeligeri;serovar 1/2b SLCC3954;Listeria seeligeri serovar 1/2b str. SLCC3954;positive;facultative
1265845;Listeria;Listeria weihenstephanensis;FSL R9-0317;Listeria weihenstephanensis FSL R9-0317;positive;
386043;Listeria;Listeria welshimeri;serovar 6b SLCC5334;Listeria welshimeri serovar 6b str. SLCC5334;positive;facultative
1265820;Listeria;Listeriaceae bacterium;FSL F6-969;Listeriaceae bacterium FSL F6-969;positive;
1265819;Listeriaceae;Listeriaceae bacterium;FSL F6-971;Listeriaceae bacterium FSL F6-971;positive;
1265817;Listeriaceae;Listeriaceae bacterium;FSL S10-1187;Listeriaceae bacterium FSL S10-1187;positive;
1265818;Listeriaceae;Listeriaceae bacterium;FSL S10-1188;Listeriaceae bacterium FSL S10-1188;positive;
1265816;Listeriaceae;Listeriaceae bacterium;FSL S10-1204;Listeriaceae bacterium FSL S10-1204;positive;
882944;Listeriaceae;Listonella anguillarum;M3;Listonella anguillarum M3;negative;facultative
1122180;Listonella;Loktanella hongkongensis;DSM 17492;Loktanella hongkongensis DSM 17492;negative;aerobic
1122181;Loktanella;Loktanella vestfoldensis;DSM 16212;Loktanella vestfoldensis DSM 16212;negative;aerobic
314232;Loktanella;Loktanella vestfoldensis;SKA53;Loktanella vestfoldensis SKA53;negative;aerobic
1122182;Loktanella;Longispora albida;DSM 44784;Longispora albida DSM 44784;positive;aerobic
1122183;Longispora;Luteimonas mephitis;DSM 12574;Luteimonas mephitis DSM 12574;negative;aerobic
631454;Luteimonas;Lutibaculum baratangense;AMV1;Lutibaculum baratangense AMV1;negative;
279714;Lutibaculum;Lutiella nitroferrum;2002;Lutiella nitroferrum 2002;;
1348334;Lutiella;Lyngbya aestuarii;BL J;Lyngbya aestuarii BL J;negative;aerobic
1231627;Lyngbya;Lysinibacillus fusiformis;ZB2;Lysinibacillus fusiformis ZB2;positive;
714961;Lysinibacillus;Lysinibacillus fusiformis;ZC1;Lysinibacillus fusiformis ZC1;positive;aerobic
1145276;Lysinibacillus;Lysinibacillus sp.;GY32;Lysinibacillus sp. GY32;positive;facultative
444177;Lysinibacillus;Lysinibacillus sphaericus;C3-41;Lysinibacillus sphaericus C3-41;positive;aerobic
1285586;Lysinibacillus;Lysinibacillus sphaericus;OT4b.31;Lysinibacillus sphaericus OT4b.31;positive;aerobic
1385515;Lysinibacillus;Lysobacter defluvii;DSM 18482;Lysobacter defluvii DSM 18482;negative;
458233;Lysobacter;Macrococcus caseolyticus;JCSC5402;Macrococcus caseolyticus JCSC5402;positive;facultative
156889;Macrococcus;Magnetococcus sp.;MC-1;Magnetococcus sp. MC-1;negative;facultative
342108;Magnetococcus;Magnetospirillum magneticum;AMB-1;Magnetospirillum magneticum AMB-1;negative;microaerophilic
272627;Magnetospirillum;Magnetospirillum magnetotacticum;MS-1;Magnetospirillum magnetotacticum MS-1;negative;microaerophilic
1244869;Magnetospirillum;Magnetospirillum sp.;SO-1;Magnetospirillum sp. SO-1;negative;microaerophilic
697281;Magnetospirillum;Mahella australiensis;50-1 BON;Mahella australiensis 50-1 BON;positive;anaerobic
1261126;Mahella;Mannheimia haemolytica;D153;Mannheimia haemolytica D153;negative;
1311759;Mannheimia;Mannheimia haemolytica;D171;Mannheimia haemolytica D171;negative;
1311760;Mannheimia;Mannheimia haemolytica;D174;Mannheimia haemolytica D174;negative;
1329904;Mannheimia;Mannheimia haemolytica;D193;Mannheimia haemolytica D193;negative;
1329905;Mannheimia;Mannheimia haemolytica;D35;Mannheimia haemolytica D35;positive;
1316932;Mannheimia;Mannheimia haemolytica;M42548;Mannheimia haemolytica M42548;negative;facultative
272629;Mannheimia;Mannheimia haemolytica;PHL213;Mannheimia haemolytica PHL213;negative;facultative
1261125;Mannheimia;Mannheimia haemolytica;serotype 6 H23;Mannheimia haemolytica serotype 6 str. H23;negative;facultative
1450449;Mannheimia;Mannheimia haemolytica;serotype A1/A6 PKL10;Mannheimia haemolytica serotype A1/A6 str. PKL10;negative;
669262;Mannheimia;Mannheimia haemolytica;serotype A2 BOVINE;Mannheimia haemolytica serotype A2 str. BOVINE;negative;
669261;Mannheimia;Mannheimia haemolytica;serotype A2 OVINE;Mannheimia haemolytica serotype A2 str. OVINE;negative;
1366053;Mannheimia;Mannheimia haemolytica;USMARC_2286;Mannheimia haemolytica USMARC_2286;negative;microaerophilic
221988;Mannheimia;Mannheimia succiniciproducens;MBEL55E;Mannheimia succiniciproducens MBEL55E;negative;anaerobic
394221;Mannheimia;Maricaulis maris;MCS10;Maricaulis maris MCS10;negative;facultative
312284;Maricaulis;marine actinobacterium;PHSC20C1;marine actinobacterium PHSC20C1;positive;
247634;marine;marine gamma;proteobacterium HTCC2148;marine gamma proteobacterium HTCC2148;;
1379401;marine;Marinimicrobia bacterium;JGI OTU-1;Marinimicrobia bacterium JGI OTU-1;;
1379406;Marinimicrobia;Marinimicrobia bacterium;JGI OTU-2;Marinimicrobia bacterium JGI OTU-2;;
869210;Marinimicrobia;Marinithermus hydrothermalis;DSM 14884;Marinithermus hydrothermalis DSM 14884;negative;aerobic
443152;Marinithermus;Marinobacter algicola;DG893;Marinobacter algicola DG893;negative;facultative
351348;Marinobacter;Marinobacter aquaeolei;VT8;Marinobacter aquaeolei VT8;negative;facultative
1318628;Marinobacter;Marinobacter lipolyticus;SM19;Marinobacter lipolyticus SM19;negative;aerobic
1288826;Marinobacter;Marinobacter santoriniensis;NKSG1;Marinobacter santoriniensis NKSG1;negative;facultative
270374;Marinobacter;Marinobacter sp.;ELB17;Marinobacter sp. ELB17;negative;facultative
1122202;Marinobacter;Marinobacterium rhizophilum;DSM 18822;Marinobacterium rhizophilum DSM 18822;negative;
314277;Marinobacterium;Marinomonas sp.;MED121;Marinomonas sp. MED121;negative;aerobic
400668;Marinomonas;Marinomonas sp.;MWYL1;Marinomonas sp. MWYL1;negative;aerobic
1122207;Marinomonas;Marinomonas ushuaiensis;DSM 15871;Marinomonas ushuaiensis DSM 15871;negative;
643867;Marinomonas;Marivirga tractuosa;DSM 4126;Marivirga tractuosa DSM 4126;negative;
1122214;Marivirga;Martelella mediterranea;DSM 17316;Martelella mediterranea DSM 17316;negative;
478749;Martelella;Marvinbryantia formatexigens;DSM 14469;Marvinbryantia formatexigens DSM 14469;positive;anaerobic
1122215;Marvinbryantia;Massilia niastensis;DSM 21313;Massilia niastensis DSM 21313;negative;
883126;Massilia;Massilia timonae;CCUG 45783;Massilia timonae CCUG 45783;positive;
657316;Massilia;Megamonas hypermegale;;Megamonas hypermegale;;anaerobic
1122218;Megamonas;Meganema perideroedes;DSM 15528;Meganema perideroedes DSM 15528;negative;aerobic
706434;Meganema;Megasphaera micronuciformis;F0359;Megasphaera micronuciformis F0359;negative;anaerobic
1285585;Megasphaera;Megasphaera sp.;BL7;Megasphaera sp. BL7;negative;anaerobic
1273103;Megasphaera;Megasphaera sp.;NM10;Megasphaera sp. NM10;;anaerobic
504728;Megasphaera;Meiothermus ruber;DSM 1279;Meiothermus ruber DSM 1279;;aerobic
1297799;Meiothermus;Meiothermus ruber;H328;Meiothermus ruber H328;negative;aerobic
526227;Meiothermus;Meiothermus silvanus;DSM 9946;Meiothermus silvanus DSM 9946;;aerobic
1122223;Meiothermus;Meiothermus timidus;DSM 17022;Meiothermus timidus DSM 17022;negative;aerobic
265311;Meiothermus;Mesoplasma florum;L1;Mesoplasma florum L1;negative;facultative
1336238;Mesoplasma;Mesoplasma seiffertii;ATCC 49495;Mesoplasma seiffertii ATCC 49495;positive;
1040981;Mesoplasma;Mesorhizobium ciceri;WSM4083;Mesorhizobium ciceri WSM4083;negative;aerobic
266835;Mesorhizobium;Mesorhizobium loti;MAFF303099;Mesorhizobium loti MAFF303099;negative;aerobic
935548;Mesorhizobium;Mesorhizobium loti;R88b;Mesorhizobium loti R88b;negative;aerobic
1040984;Mesorhizobium;Mesorhizobium loti;WSM1293;Mesorhizobium loti WSM1293;negative;aerobic
536019;Mesorhizobium;Mesorhizobium opportunistum;WSM2075;Mesorhizobium opportunistum WSM2075;negative;aerobic
1320555;Mesorhizobium;Mesorhizobium sp.;NBIMC_P2-C1;Mesorhizobium sp. NBIMC_P2-C1;negative;
1320557;Mesorhizobium;Mesorhizobium sp.;NBIMC_P2-C2;Mesorhizobium sp. NBIMC_P2-C2;negative;
1320556;Mesorhizobium;Mesorhizobium sp.;NBIMC_P2-C3;Mesorhizobium sp. NBIMC_P2-C3;negative;
1380604;Mesorhizobium;Mesorhizobium sp.;NBIMC_P2-C4;Mesorhizobium sp. NBIMC_P2-C4;negative;
1040985;Mesorhizobium;Mesorhizobium sp.;WSM2561;Mesorhizobium sp. WSM2561;negative;aerobic
1040987;Mesorhizobium;Mesorhizobium sp.;WSM3626;Mesorhizobium sp. WSM3626;negative;aerobic
1122228;Mesorhizobium;Metascardovia criceti;DSM 17774;Metascardovia criceti DSM 17774;positive;facultative
481448;Metascardovia;Methylacidiphilum infernorum;V4;Methylacidiphilum infernorum V4;;aerobic
420662;Methylacidiphilum;Methylibium petroleiphilum;PM1;Methylibium petroleiphilum PM1;negative;facultative
1430884;Methylibium;Methylibium sp.;T29;Methylibium sp. T29;negative;aerobic
1437443;Methylibium;Methylibium sp.;T29-B;Methylibium sp. T29-B;negative;
265072;Methylibium;Methylobacillus flagellatus;KT;Methylobacillus flagellatus KT;negative;aerobic
697282;Methylobacillus;Methylobacter tundripaludum;SV96;Methylobacter tundripaludum SV96;negative;aerobic
440085;Methylobacter;Methylobacterium chloromethanicum;CM4;Methylobacterium chloromethanicum CM4;negative;aerobic
272630;Methylobacterium;Methylobacterium extorquens;AM1;Methylobacterium extorquens AM1;negative;facultative
661410;Methylobacterium;Methylobacterium extorquens;DM4;Methylobacterium extorquens DM4;negative;aerobic
419610;Methylobacterium;Methylobacterium extorquens;PA1;Methylobacterium extorquens PA1;negative;facultative
908290;Methylobacterium;Methylobacterium mesophilicum;SR1.6/6;Methylobacterium mesophilicum SR1.6/6;negative;aerobic
