faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Joostella;Joostella marina;;Joostella marina ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65611-0
Kaistia;Kaistia adipata;;Kaistia adipata ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.2323/jgam.50.249
Kandleria;Kandleria vitulina;;Kandleria vitulina ;fermentation|chemoheterotrophy;DOI:10.1099/ijs.0.029231-0
Kerstersia;Kerstersia gyiorum;;Kerstersia gyiorum ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;DOI:10.1128/JCM.03625-14
Kibdelosporangium;Kibdelosporangium aridum;;Kibdelosporangium aridum ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kibdelosporangium;Kibdelosporangium philippinense;;Kibdelosporangium philippinense ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kineococcus;Kineococcus aurantiacus;;Kineococcus aurantiacus ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kineosporia;Kineosporia aurantiaca;;Kineosporia aurantiaca ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 5
Kineosporia;Kineosporia mikuniensis;;Kineosporia mikuniensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kineosporia;Kineosporia rhamnosa;;Kineosporia rhamnosa ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kineosporia;Kineosporia rhizophila;;Kineosporia rhizophila ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kineosporia;Kineosporia succinea;;Kineosporia succinea ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kingella;Kingella kingae;;Kingella kingae ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1348241.3 NCBI Taxon ID: 1348241 Disease: Bacteremia
Kitasatospora;Kitasatospora azatica;;Kitasatospora azatica ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kitasatospora;Kitasatospora paracochleata;;Kitasatospora paracochleata ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kitasatospora;Kitasatospora putterlickiae;;Kitasatospora putterlickiae ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kitasatospora;Kitasatospora sampliensis;;Kitasatospora sampliensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Klebsiella;Klebsiella aerogenes;;Klebsiella aerogenes ;dark_thiosulfate_oxidation|human_pathogens_nosocomia|dark_oxidation_of_sulfur_compounds|human_pathogens_all|human_associated|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;DOI:10.1007/BF02011707| DOI:10.1093/ofid/ofz360.296
Klebsiella;Klebsiella oxytoca;;Klebsiella oxytoca ;nitrate_ammonification|nitrite_ammonification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1080/01490450500533866
Klebsiella;Klebsiella ozaenae;;Klebsiella ozaenae ;fermentation|chemoheterotrophy;Meurant (2012) - Computer-Assisted Bacterial Systematics ISBN: 9780080984445
Klebsiella;Klebsiella planticola;;Klebsiella planticola ;fermentation|chemoheterotrophy;Meurant (2012) - Computer-Assisted Bacterial Systematics ISBN: 9780080984445
Klebsiella;Klebsiella pnemoniae;;Klebsiella pnemoniae ;nitrate_ammonification|nitrite_ammonification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1080/01490450500533866
Klebsiella;Klebsiella pneumoniae;;Klebsiella pneumoniae ;fermentation|human_pathogens_septicemia|human_pathogens_pneumonia|human_pathogens_nosocomia|human_pathogens_all|human_pathogens_all|human_gut|human_pathogens_all|human_pathogens_all|human_pathogens_all|human_associated|human_associated|human_associated|human_associated|human_associated|human_associated|mammal_gut|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts|chemoheterotrophy|human_associated|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts;Meurant (2012) - Computer-Assisted Bacterial Systematics ISBN: 9780080984445| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1310158.5 NCBI Taxon ID: 1310158 Disease: Septicemia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1352932.3 NCBI Taxon ID: 1352932 Disease: Septicemia pneumonia Urinary tract infections and soft tissue infections.| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1162296.3 NCBI Taxon ID: 1162296 Disease: Nosocomial infections| DOI:10.1111/j.1574-6941.2011.01248.x|# Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1310158.5 NCBI Taxon ID: 1310158 Disease: Septicemia|# Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Klebsiella;Klebsiella quasipneumoniae;;Klebsiella quasipneumoniae ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;DOI:10.1128/AAC.02513-18
Klebsiella;Klebsiella rhinoscleromatis;;Klebsiella rhinoscleromatis ;fermentation|chemoheterotrophy;Meurant (2012) - Computer-Assisted Bacterial Systematics ISBN: 9780080984445
Kocuria;Kocuria carniphila;;Kocuria carniphila ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kocuria;Kocuria erythromyxa;;Kocuria erythromyxa ;arsenate_detoxification|dissimilatory_arsenate_reduction;DOI:10.1111/j.1365-2672.2009.04188.x
Kocuria;Kocuria marina;;Kocuria marina ;nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kocuria;Kocuria palustris;;Kocuria palustris ;nitrate_reduction |nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kocuria;Kocuria polaris;;Kocuria polaris ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kocuria;Kocuria rosea;;Kocuria rosea ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kocuria;Kocuria varians;;Kocuria varians ;nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kordiimonas;Kordiimonas gwangyangensis;;Kordiimonas gwangyangensis ;aromatic_hydrocarbon_degradation|aromatic_compound_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.63684-0
Koribacter;Koribacter versatilis;;Koribacter versatilis ;xylanolysis|chemoheterotrophy;DOI:10.1007/978-3-642-38954-2_160
Koribacter;Koribacter versatilis;Ellin345;Koribacter versatilis Ellin345;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1128/AEM.69.12.7210–7215.2003  and  DOI:10.1046/j.1462-2920.2002.00352.x
Kosmotoga;Kosmotoga arenicorallina;;Kosmotoga arenicorallina ;fermentation|chemoheterotrophy;DOI:10.1007/s00203-010-0611-7
Kuenenia;Kuenenia stuttgartiensis;;Kuenenia stuttgartiensis ;anammox|nitrite_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Poole (2012) - Advances in Microbial Physiology Volume 60 Academic Prress
Kurthia;Kurthia zopfii;;Kurthia zopfii ;chitinolysis|chemoheterotrophy;DOI:10.1128/AEM.68.10.5042–5050.2002
Kutzneria;Kutzneria albida;;Kutzneria albida ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kutzneria;Kutzneria viridogrisea;;Kutzneria viridogrisea ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Kyrpidia;Kyrpidia tusciae;;Kyrpidia tusciae ;knallgas_bacteria|aerobic_chemoheterotrophy|nitrate_reduction |ureolysis|dark_hydrogen_oxidation|chemoheterotrophy;DOI:10.1007/BF00408386  and  DOI:10.4056/sigs.2144922| DOI:10.1007/BF00408386  and  DOI:10.4056/sigs.2144922| DOI:10.1007/BF00408386  and  DOI:10.4056/sigs.2144922| DOI:10.1007/BF00408386  and  DOI:10.4056/sigs.2144922
Labedella;Labedella gwakjiensis;;Labedella gwakjiensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64591-0
Labrenzia;Labrenzia aggregata;;Labrenzia aggregata ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64821-0
Labrenzia;Labrenzia alba;;Labrenzia alba ;aerobic_chemoheterotrophy|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64821-0| DOI:10.1099/ijs.0.64821-0
Labrenzia;Labrenzia alexandri;;Labrenzia alexandri ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64821-0
Labrenzia;Labrenzia alexandrii;;Labrenzia alexandrii ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64821-0
Labrenzia;Labrenzia marina;;Labrenzia marina ;aerobic_chemoheterotrophy|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64821-0| DOI:10.1128/AEM.01724-06  and  DOI:10.1099/ijs.0.63735-0  and  DOI:10.1099/ijs.0.64821-0
Lachnospira;Lachnospira multiparus;;Lachnospira multiparus ;fermentation|chemoheterotrophy;Rode et al. (1981) - Syntrophic Association by Cocultures of the Methanol- and CO(2)-H(2)-Utilizing Species Eubacterium limosum and Pectin-Fermenting Lachnospira multiparus During Growth in a Pectin Medium
Lacinutrix;Lacinutrix algicola;;Lacinutrix algicola ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65799-0
Lacinutrix;Lacinutrix copepodicola;;Lacinutrix copepodicola ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.63527-0
Lacinutrix;Lacinutrix mariniflava;;Lacinutrix mariniflava ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65799-0
Lactobacillus;Lactobacillus brevis;;Lactobacillus brevis ;nitrite_ammonification|nitrite_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactobacillus;Lactobacillus buchneri;;Lactobacillus buchneri ;nitrite_ammonification|nitrite_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactobacillus;Lactobacillus casei;;Lactobacillus casei ;fermentation|fermentation|chemoheterotrophy|chemoheterotrophy;Volker Mueller (2001) - Bacterial Fermentation Encyclopedia of life sciences| Konigs Kuipers et al. (2013) - Lactic Acid Bacteria: Genetics Metabolism and Applications: Proceedings of the Sixth Symposium on lactic acid bacteria: genetics metabolism and applications ISBN: 9789401720274
Lactobacillus;Lactobacillus crispatus;;Lactobacillus crispatus ;human_associated;DOI:10.1099/mic.0.000238
Lactobacillus;Lactobacillus delbrueckii;;Lactobacillus delbrueckii ;fermentation|fermentation|chemoheterotrophy|chemoheterotrophy;DOI:10.1051/lait:2003031| Volker Mueller (2001) - Bacterial Fermentation Encyclopedia of life sciences
Lactobacillus;Lactobacillus delbrueckii;lactis;Lactobacillus delbrueckii lactis;nitrite_ammonification|nitrite_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactobacillus;Lactobacillus farciminis;;Lactobacillus farciminis ;nitrite_ammonification|nitrite_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactobacillus;Lactobacillus gasseri;;Lactobacillus gasseri ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1126/science.1183605
Lactobacillus;Lactobacillus jensenii;;Lactobacillus jensenii ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1126/science.1183605
Lactobacillus;Lactobacillus pentosus;;Lactobacillus pentosus ;nitrate_ammonification|nitrite_ammonification|nitrite_ammonification|nitrite_respiration|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactobacillus;Lactobacillus plantarum;;Lactobacillus plantarum ;nitrate_ammonification|nitrite_ammonification|fermentation|nitrite_ammonification|nitrite_respiration|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Konigs Kuipers et al. (2013) - Lactic Acid Bacteria: Genetics Metabolism and Applications: Proceedings of the Sixth Symposium on lactic acid bacteria: genetics metabolism and applications ISBN: 9789401720274
Lactobacillus;Lactobacillus reuteri;;Lactobacillus reuteri ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1126/science.1183605
Lactobacillus;Lactobacillus ruminis;;Lactobacillus ruminis ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1186/s12866-015-0403-y
Lactobacillus;Lactobacillus sakei;;Lactobacillus sakei ;nitrite_ammonification|nitrite_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactobacillus;Lactobacillus suebicus;;Lactobacillus suebicus ;nitrite_ammonification|nitrite_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactococcus;Lactococcus lactis;;Lactococcus lactis ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 2939
Lactococcus;Lactococcus lactis;lactis;Lactococcus lactis lactis;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactococcus;Lactococcus plantarum;;Lactococcus plantarum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactococcus;Lactococcus raffinolactis;;Lactococcus raffinolactis ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lactosphaera;Lactosphaera pasteurii;;Lactosphaera pasteurii ;fermentation|fermentation|chemoheterotrophy|chemoheterotrophy;DOI:10.5772/55920| DOI:10.5772/55920
Lamprobacter;Lamprobacter modestohalophilus;;Lamprobacter modestohalophilus ;nitrogen_fixation|anoxygenic_photoautotrophy_H2_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|ureolysis|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Lapillicoccus;Lapillicoccus jejuensis;;Lapillicoccus jejuensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64911-0
Larkinella;Larkinella insperata;;Larkinella insperata ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.63948-0
Lebetimonas;Lebetimonas acidiphila;;Lebetimonas acidiphila ;sulfur_respiration|dark_hydrogen_oxidation|respiration_of_sulfur_compounds;DOI:10.1099/ijs.0.63330-0| DOI:10.1099/ijs.0.63330-0
Lechevalieria;Lechevalieria aerocolonigenes;;Lechevalieria aerocolonigenes ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Lechevalieria;Lechevalieria flava;;Lechevalieria flava ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Lechevalieria;Lechevalieria fradiae;;Lechevalieria fradiae ;nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Lechevalieria;Lechevalieria xinjiangensis;;Lechevalieria xinjiangensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Legionella;Legionella anisa;;Legionella anisa ;human_pathogens_pneumonia|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1230343.3 NCBI Taxon ID: 1230343 Disease: Pneumonia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1230343.3 NCBI Taxon ID: 1230343 Disease: Pneumonia
Legionella;Legionella pneumophila;;Legionella pneumophila ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;DOI:10.1172/JCI109874
Leifsonia;Leifsonia aquatica;;Leifsonia aquatica ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leifsonia;Leifsonia aurea;;Leifsonia aurea ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leifsonia;Leifsonia bigeumensis;;Leifsonia bigeumensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leifsonia;Leifsonia pindariensis;;Leifsonia pindariensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leifsonia;Leifsonia rubra;;Leifsonia rubra ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leifsonia;Leifsonia xyli;;Leifsonia xyli ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leifsonia;Leifsonia xyli;;Leifsonia xyli ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4109
Leisingera;Leisingera methylohalidivorans;;Leisingera methylohalidivorans ;methylotrophy|chemoheterotrophy;DOI:10.1099/00207713-52-3-851
Leminorella;Leminorella grimontii;;Leminorella grimontii ;human_pathogens_gastroenteritis|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1005999.3 NCBI Taxon ID: 1005999 Disease: Gastroenteritis| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1005999.3 NCBI Taxon ID: 1005999 Disease: Gastroenteritis
Lentibacillus;Lentibacillus juripiscarius;;Lentibacillus juripiscarius ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lentibacillus;Lentibacillus lacisalsi;;Lentibacillus lacisalsi ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lentibacillus;Lentibacillus salarius;;Lentibacillus salarius ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lentibacillus;Lentibacillus salicampi;;Lentibacillus salicampi ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Lentzea;Lentzea californiensis;;Lentzea californiensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Lentzea;Lentzea kentuckyensis;;Lentzea kentuckyensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Lentzea;Lentzea violacea;;Lentzea violacea ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Lentzea;Lentzea waywayandensis;;Lentzea waywayandensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leptolinea;Leptolinea tardivitalis;;Leptolinea tardivitalis ;fermentation|chemoheterotrophy;DOI:10.1099/ijs.0.64169-0
Leptospira;Leptospira borgpetersenii;str. 4E;Leptospira borgpetersenii str. 4E;human_pathogens_all|human_associated|animal_parasites_or_symbionts;DOI:10.1073/pnas.0603979103
Leptospira;Leptospira borgpetersenii;;Leptospira borgpetersenii ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;DOI:10.1073/pnas.0603979103
Leptospira;Leptospira interrogans;;Leptospira interrogans ;human_pathogens_all|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;DOI:10.1038/nature01597| DOI:10.1038/nature01597
Leptospirillum;Leptospirillum ferriphilum;;Leptospirillum ferriphilum ;dark_iron_oxidation;DOI:10.1146/annurev.micro.112408.134208
Leptospirillum;Leptospirillum ferrodiazotrophum;;Leptospirillum ferrodiazotrophum ;nitrogen_fixation|dark_iron_oxidation;DOI:10.1128/AEM.02943-08  and  DOI:10.1128/AEM.71.10.6319–6324.2005| DOI:10.1128/AEM.02943-08  and  DOI:10.1128/AEM.71.10.6319–6324.2005
Leptospirillum;Leptospirillum ferrooxidans;;Leptospirillum ferrooxidans ;dark_iron_oxidation;DOI:10.1146/annurev.micro.112408.134208
Leptospirillum;Leptospirillum rubarum;;Leptospirillum rubarum ;dark_iron_oxidation;DOI:10.1128/AEM.02943-08
Leptothrix;Leptothrix cholodnii;;Leptothrix cholodnii ;dark_iron_oxidation;DOI:10.1146/annurev.micro.112408.134208
Leptothrix;Leptothrix discophora;;Leptothrix discophora ;manganese_oxidation|dark_iron_oxidation|dark_iron_oxidation;DOI:10.1016/j.soilbio.2007.01.004  and  Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1146/annurev.micro.112408.134208| DOI:10.1099/mic.0.045344-0
Leptothrix;Leptothrix ochracea;;Leptothrix ochracea ;dark_iron_oxidation;DOI:10.2138/rmg.2005.59.5
Leucobacter;Leucobacter aridicollis;;Leucobacter aridicollis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leucobacter;Leucobacter chironomi;;Leucobacter chironomi ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leucobacter;Leucobacter chromiireducens;;Leucobacter chromiireducens ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leucobacter;Leucobacter luti;;Leucobacter luti ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Leuconostoc;Leuconostoc mesenterioides;;Leuconostoc mesenterioides ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3940
Leuconostoc;Leuconostoc mesenteroides;;Leuconostoc mesenteroides ;fermentation|chemoheterotrophy;Konigs Kuipers et al. (2013) - Lactic Acid Bacteria: Genetics Metabolism and Applications: Proceedings of the Sixth Symposium on lactic acid bacteria: genetics metabolism and applications ISBN: 9789401720274
Leuconostoc;Leuconostoc oenos;;Leuconostoc oenos ;fermentation|chemoheterotrophy;Konigs Kuipers et al. (2013) - Lactic Acid Bacteria: Genetics Metabolism and Applications: Proceedings of the Sixth Symposium on lactic acid bacteria: genetics metabolism and applications ISBN: 9789401720274
Levilinea;Levilinea saccharolytica;;Levilinea saccharolytica ;fermentation|chemoheterotrophy;DOI:10.1099/ijs.0.64169-0
Lewinella;Lewinella antarctica;;Lewinella antarctica ;nitrate_reduction ;Rosenberg DeLong Lory Stackebrandt Thompson (2014) - Other major lineages of Bacteria and the Archaea
Limnobacter;Limnobacter litoralis;;Limnobacter litoralis ;dark_thiosulfate_oxidation|aerobic_chemoheterotrophy|dark_oxidation_of_sulfur_compounds|chemoheterotrophy;DOI:10.1099/ijs.0.020206-0| DOI:10.1099/ijs.0.020206-0
Limnobacter;Limnobacter thiooxidans;;Limnobacter thiooxidans ;dark_thiosulfate_oxidation|aerobic_chemoheterotrophy|dark_oxidation_of_sulfur_compounds|chemoheterotrophy;DOI:10.1099/00207713-51-4-1463| DOI:10.1099/00207713-51-4-1463
Limonium;Limonium bicolor;;Limonium bicolor ;chitinolysis|chemoheterotrophy;DOI:10.1155/2013/648382
Listeria;Listeria grayi;;Listeria grayi ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1126/science.1183605
Listeria;Listeria monocytogenes;;Listeria monocytogenes ;human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts;DOI:10.1083/jcb.109.4.1597| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 393128.7 NCBI Taxon ID: 393128 Disease: Listeriosis
Listeria;Listeria monocytogenes;2812 1/2a;Listeria monocytogenes 2812 1/2a;plant_pathogen;DOI:10.1016/j.foodcont.2005.11.009
Litorilinea;Litorilinea aerophila;;Litorilinea aerophila ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.044115-0
