ijsem_genus;ijsem_species;ijsem_strain;ijsem_speciesStrain;ijsem_source;ijsem_gram;ijsem_oxygen;ijsem_assays;ijsem_substrate;ijsem_ref
Naxibacter;Naxibacter haematophilus;CCUG 38318;Naxibacter haematophilus CCUG 38318;other;negative;aerobic;oxidasePositive;acetate|adipate|pyruvate;10.1099/ijs.0.65516-0
Naxibacter;Naxibacter suwonensis;5414S-25;Naxibacter suwonensis 5414S-25;other;negative;aerobic;catalasePositive|oxidasePositive;3-hydroxybutyrate|adipate|alanine|glycogen|histidine|malate|maltose|phenylacetate|proline|serine|subericAcid|valerate;10.1099/ijs.0.015479-0
Naxibacter;Naxibacter varians;CCUG 35299;Naxibacter varians CCUG 35299;other;negative;aerobic;aesculinHydrolysis|oxidasePositive;3-hydroxybutyrate|acetate|pyruvate;10.1099/ijs.0.65516-0
Negativicoccus;Negativicoccus succinicivorans;ADV 07/08/06-B-1388;Negativicoccus succinicivorans ADV 07/08/06-B-1388;other|human - skin;negative;anaerobic;alkalinePhosphatase;;10.1099/ijs.0.013102-0
Neiella;Neiella marina;J221;Neiella marina J221;other;negative;aerobic;nitrateReductionToNitrite|oxidasePositive;arabinose|citrate|mannitol|mannose|xylose;10.1099/ijs.0.043448-0
Neisseria;Neisseria animaloris;EF-4a;Neisseria animaloris EF-4a;human - skin;negative;facultative;catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive;citrate;10.1099/ijs.0.64142-0
Neisseria;Neisseria oralis;6332;Neisseria oralis 6332;other;negative;facultative;catalasePositive|nitrateReductionToNitrite|oxidasePositive;glucose|maltose|sucrose;10.1099/ijs.0.041731-0
Neisseria;Neisseria shayeganii;871;Neisseria shayeganii 871;human - mouth;negative;facultative;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;;10.1099/ijs.0.022426-0
Neisseria;Neisseria shayeganii;871T;Neisseria shayeganii 871T;other;negative;facultative;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;glucose;10.1099/ijs.0.022426-0
Neisseria;Neisseria wadsworthii;9715;Neisseria wadsworthii 9715;human - skin;negative;facultative;acidPhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;;10.1099/ijs.0.022426-0
Neisseria;Neisseria wadsworthii;9715T;Neisseria wadsworthii 9715T;other;negative;facultative;acidPhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;arginine|fructose|glucose;10.1099/ijs.0.022426-0
Neisseria;Neisseria wadsworthii;Neisseria wadsworthii;Neisseria wadsworthii Neisseria wadsworthii;other;negative;facultative;acidPhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;glucose|leucine|proline;10.1099/ijs.0.022426-0
Neisseria;Neisseria zoodegmatis;EF-4b;Neisseria zoodegmatis EF-4b;other;negative;facultative;catalasePositive|nitrateReductionToNitrite|oxidasePositive;acetate|glucose;10.1099/ijs.0.64142-0
Neptuniibacter;Neptuniibacter caesariensis;MED92T;Neptuniibacter caesariensis MED92T;seawater;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive;acetate|alanine|aspartate|citrate|gamma-aminobutyricAcid|glutamicAcid|lactate|malate|putrescine|pyruvate;10.1099/ijs.0.64524-0
Neptuniibacter;Neptuniibacter halophilus;antisso-13;Neptuniibacter halophilus antisso-13;hypersaline environment;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;acetate|alanine|arginine|aspartate|fructose|galactose|gamma-aminobutyricAcid|glutamicAcid|glycerol|glycine|histidine|lactate|leucine|myo-inositol|ornithine|putrescine|serine|sorbitol|threonine|urea|xylose;10.1099/ijs.0.030379-0
Neptunomonas;Neptunomonas antarctica;S3-22;Neptunomonas antarctica S3-22;freshwater sediment (river| lake| pond);negative;facultative;catalasePositive|nitrateReductionToNitrite|oxidasePositive;fructose|mannitol;10.1099/ijs.0.017756-0
Neptunomonas;Neptunomonas concharum;LHW37;Neptunomonas concharum LHW37;other;negative;facultative;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive;methylBeta-D-glucoside;10.1099/ijs.0.037473-0
Neptunomonas;Neptunomonas japonica;JAMM 0745;Neptunomonas japonica JAMM 0745;marine sediment;negative;facultative;catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive;;10.1099/ijs.0.65509-0
Neptunomonas;Neptunomonas qingdaonensis;P10-2-4;Neptunomonas qingdaonensis P10-2-4;marine sediment;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;caprate|citrate|malate|phenylacetate;10.1099/ijs.0.041970-0
Nereida;Nereida ignava; 2SM4T;Nereida ignava 2SM4T;seawater;negative;aerobic;catalasePositive|oxidasePositive;acetate|citrate|glucose|lactate|malate|maltose|mannitol|mannose|ornithine|pyruvate|serine;10.1099/ijs.0.63442-0
Nesiotobacter;Nesiotobacter exalbescens;LA33B;Nesiotobacter exalbescens LA33B;other;negative;aerobic;catalasePositive|oxidasePositive;fructose|gluconicAcid|glucose|mannose|ribose;10.1099/ijs.0.63440-0
Nesterenkonia;Nesterenkonia aethiopica;DSM 17733;Nesterenkonia aethiopica DSM 17733;seawater;positive;aerobic;catalasePositive|oxidasePositive;arabinose|fructose|glucose|glycerol|sucrose;10.1099/ijs.0.63633-0
Nesterenkonia;Nesterenkonia alba;CAAS 252T;Nesterenkonia alba CAAS 252T;other;positive;;catalasePositive;arabinose|gelatin|glucose|glycerol|maltose|melibiose|raffinose|sucrose|trehalose|Tween80|xylitol;10.1099/ijs.0.003376-0
Nesterenkonia;Nesterenkonia flava;CAAS 251;Nesterenkonia flava CAAS 251;other;positive;aerobic;catalasePositive;arabinose|fructose|glucose|maltose|mannose|sucrose;10.1099/ijs.0.65618-0
Nesterenkonia;Nesterenkonia halophila;YIM 70179;Nesterenkonia halophila YIM 70179;soil;positive;;nitrateReductionToNitrite;arabinose|cellobiose|fructose|glucose|mannitol|mannose|salicin|xylose;10.1099/ijs.0.64226-0
Nesterenkonia;Nesterenkonia halotolerans;YIM70084T;Nesterenkonia halotolerans YIM70084T;soil;positive;;gelatinase|ureasePositive;dextrin|fructose|galactose|gelatin|glucose|lactose|maltose|mannose|sucrose|urea;10.1099/ijs.0.02935-0
Nesterenkonia;Nesterenkonia lutea;YIM70081T;Nesterenkonia lutea YIM70081T;hypersaline environment;positive;;nitrateReductionToNitrite;arabinose|cellobiose|dextrin|fructose|galactose|glucose|maltose|mannitol|mannose|salicin|sucrose|xylose;10.1099/ijs.0.63281-0
Nesterenkonia;Nesterenkonia sandarakina;YIM70009T;Nesterenkonia sandarakina YIM70009T;soil;positive;;catalasePositive;arabinose|cellobiose|dextrin|fructose|galactose|glucose|maltose|mannitol|mannose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.63281-0
Nesterenkonia;Nesterenkonia suensis;Sua-BAC020;Nesterenkonia suensis Sua-BAC020;other;positive;;catalasePositive|nitrateReductionToNitrite;alanine|arabinose|asparagine|fructose|gluconicAcid|glucose|glutamicAcid|glycerol|mannitol|serine|sorbitol|sucrose|Tween40|Tween80|xylose;doi: 10.1099/ijs.0.035006-0
Nesterenkonia;Nesterenkonia xinjiangensis;YIM70097T;Nesterenkonia xinjiangensis YIM70097T;soil;;;gelatinase|ureasePositive;arabinose|cellobiose|dextrin|fructose|galactose|glucose|lactose|maltose|mannose|ribose|sucrose|xylose;10.1099/ijs.0.02935-0
Nevskia;Nevskia soli;GR15-1;Nevskia soli GR15-1;soil;negative;aerobic;catalasePositive|oxidasePositive;glycogen;10.1099/ijs.0.64994-0
Nevskia;Nevskia terrae;KIS13-15T;Nevskia terrae KIS13-15T;soil;negative;aerobic;acidPhosphatase|catalasePositive;acetate|arabinose|citrate|fucose|histidine|lactate|malate|mannitol|melibiose|N-acetylgulcosamine|proline|rhamnose|sorbitol|Tween80;10.1099/ijs.0.021238-0
Niabella;Niabella aurantiaca;R2A15-11T ;Niabella aurantiaca R2A15-11T;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|gelatinase|indoleProduction;maltose|melibiose|rhamnose|salicin|sucrose;10.1099/ijs.0.64614-0
Niabella;Niabella drilacis;E90;Niabella drilacis E90;other;negative;aerobic;oxidasePositive;adonitol|arabinose|cellobiose|fructose|galactose|lactate|maltose|mannose|melibiose|N-acetylgulcosamine|pyruvate|rhamnose|ribose|salicin|sucrose;10.1099/ijs.0.050823-0
Niabella;Niabella ginsengisoli;GR10-1T;Niabella ginsengisoli GR10-1T;soil;negative;aerobic;aesculinHydrolysis|catalasePositive;;10.1099/ijs.0.004333-0
Niabella;Niabella hirudinis;E96;Niabella hirudinis E96;other;negative;aerobic;aesculinHydrolysis|oxidasePositive;3-hydroxybutyrate|acetate|adonitol|arabinose|cellobiose|fructose|galactose|gluconicAcid|mannose|melibiose|N-acetylgulcosamine|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.050823-0
Niabella;Niabella soli;JS13-8;Niabella soli JS13-8;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase;arabinose|glucose|maltose|mannose|melibiose|N-acetylgulcosamine|rhamnose|salicin|sucrose;10.1099/ijs.0.65304-0
Niabella;Niabella yanshanensis;CCBAU 05354T;Niabella yanshanensis CCBAU 05354T;plant associated;negative;aerobic;catalasePositive|oxidasePositive|ureasePositive;acetate|alpha-cyclodextrin|arabinose|cellobiose|dextrin|fructose|fucose|galactose|galcturonicAcid|glucose|glycogen|lactate|lactose|maltose|mannose|melibiose|methylBeta-D-glucoside|raffinose|rhamnose|sucrose|trehalose;10.1099/ijs.0.010447-0
Niastella;Niastella koreensis;GR20-10;Niastella koreensis GR20-10;soil;negative;aerobic;alkalinePhosphatase|alphaGalactosidase;;10.1099/ijs.0.64242-0
Niastella;Niastella populi;THYL-44;Niastella populi THYL-44;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|gelatinase;arabinose|glucose|histidine|maltose|mannose|melibiose|rhamnose|salicin|serine|sucrose|arabinose|glucose|histidine|maltose|mannose|melibiose|N-acetylgulcosamine|rhamnose|salicin|serine|sucrose;10.1099/ijs.0.012112-0
Niastella;Niastella yeongjuensis;GR20-13;Niastella yeongjuensis GR20-13;soil;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|oxidasePositive;;10.1099/ijs.0.64242-0
Nibrella;Nibrella saemangeumensis;GCR0103;Nibrella saemangeumensis GCR0103;seawater;negative;;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|oxidasePositive;alanine|arabinose|gluconicAcid|glutamicAcid|glycogen|lactate|leucine|melibiose|methylBeta-D-glucoside|N-acetylgulcosamine|pyruvicAcidMethylEster|trehalose;10.1099/ijs.0.053439-0
Nibrella;Nibrella viscosa;GYR3121;Nibrella viscosa GYR3121;seawater;negative;;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|oxidasePositive;alanine|cellobiose|fructose|galactose|gluconicAcid|glucose|glutamicAcid|glycogen|lactate|lactose|maltose|mannose|melibiose|methylBeta-D-glucoside|N-acetylgulcosamine|pyruvicAcidMethylEster|raffinose|sucrose|trehalose|Tween40;10.1099/ijs.0.053439-0
Nibribacter;Nibribacter koreensis;GSR3061;Nibribacter koreensis GSR3061;estuarine water;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive;2,3-butanediol|acetate|adonitol|alanine|alpha-ketovalericAcid|arabinose|arabitol|asparagine|aspartate|carnitine|dextrin|fructose|fucose|galcturonicAcid|gluconicAcid|glucosamine|glutamicAcid|glycogen|lactate|lactose|leucine|maltose|mannitol|methylBeta-D-glucoside|myo-inositol|ornithine|proline|pyruvicAcidMethylEster|quinicAcid|raffinose|rhamnose|serine|sorbitol|sucrose|threonine|trehalose|Tween40|xylitol;10.1099/ijs.0.054569-0
Nisaea;Nisaea denitrificans;DR41_21;Nisaea denitrificans DR41_21;seawater;negative;aerobic;catalasePositive|oxidasePositive;acetate|fructose|glucose|raffinose;10.1099/ijs.0.64592-0
Nisaea;Nisaea nitritireducens;DR41_18;Nisaea nitritireducens DR41_18;seawater;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive;acetate|fructose|glucose|raffinose;10.1099/ijs.0.64592-0
Nitratifractor;Nitratifractor salsuginis;E9I37-1T;Nitratifractor salsuginis E9I37-1T;other;negative;facultative;nitrateReductionToNitrite;;10.1099/ijs.0.63480-0
Nitratireductor;Nitratireductor aquibiodomus;NL21T ;Nitratireductor aquibiodomus NL21T;built environment;negative;facultative;catalasePositive|nitrateReductionToNitrite|oxidasePositive;adipate|citrate|malate;10.1099/ijs.0.02793-0
Nitratireductor;Nitratireductor basaltis;J3T;Nitratireductor basaltis J3T;marine sediment;negative;;alphaGalactosidase|catalasePositive|oxidasePositive;arabinose|cellobiose|fucose|gluconicAcid|glycerol|maltose|mannitol|melibiose|N-acetylgulcosamine|ribose|sorbitol|sucrose|xylose;10.1099/ijs.0.65784-0
Nitratireductor;Nitratireductor indicus;C115T;Nitratireductor indicus C115T;seawater;negative;;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;acetate|adipate|alanine|asparagine|aspartate|citrate|glucose|glutamicAcid|glycerol|glycogen|histidine|lactate|leucine|malate|maltose|mannose|methylPyruvate|myo-inositol|N-acetylgulcosamine|ornithine|phenylacetate|proline|sucrose|threonine|trehalose|trisodiumCitrate|Tween80;10.1099/ijs.0.022962-0
Nitratireductor;Nitratireductor indicus;Nitratireductor indicus;Nitratireductor indicus Nitratireductor indicus;seawater;negative;;acidPhosphatase|aesculinHydrolysis|alphaGalactosidase|catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;acetate|adipate|alanine|alpha-ketovalericAcid|asparagine|aspartate|citrate|glucose|glutamicAcid|glycerol|glycogen|histidine|lactate|leucine|malate|maltose|mannose|methylPyruvate|myo-inositol|N-acetylgulcosamine|ornithine|phenylacetate|proline|sucrose|threonine|trehalose|trisodiumCitrate|Tween80|urocanicAcid;10.1099/ijs.0.022962-0
Nitratireductor;Nitratireductor kimnyeongensis;KY 101T;Nitratireductor kimnyeongensis KY 101T;plant associated;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;arabitol|fructose|fucose|glucose|mannitol|ribose|sucrose|trehalose;10.1099/ijs.0.65734-0
Nitratiruptor;Nitratiruptor tergarcus;M155-1T;Nitratiruptor tergarcus M155-1T;other;negative;facultative;;;10.1099/ijs.0.63480-0
Nitriliruptor;Nitriliruptor alkaliphilus;ANL-iso2T;Nitriliruptor alkaliphilus ANL-iso2T;freshwater sediment (river| lake| pond);positive;aerobic;catalasePositive|oxidasePositive;acetate|arabinose|cellobiose|citrate|fructose|gelatin|glucose|glycerol|malate|maltose|mannose|myo-inositol|pyruvate|sucrose|trehalose|valerate;DOI 10.1099/ijs.0.002204-0
Nitrincola;Nitrincola lacisaponensis;4CAT;Nitrincola lacisaponensis 4CAT;hypersaline environment;negative;aerobic;catalasePositive|oxidasePositive;acetate|lactate|malate|pyruvate;10.1099/ijs.0.63647-0
Nitritalea;Nitritalea halalkaliphila;LW7;Nitritalea halalkaliphila LW7;freshwater (river| lake| pond);negative;aerobic;catalasePositive|oxidasePositive;aspartate|cellobiose|citrate|fructose|glucose|glutamicAcid|histidine|lactose|pyruvate|raffinose|sucrose|trehalose;10.1099/ijs.0.020230-0
Nocardia;Nocardia acidivorans;GW4-1778T;Nocardia acidivorans GW4-1778T;soil;positive;;oxidasePositive;acetate|alanine|arabinose|citrate|galactose|glucosamine|histidine|mannitol|mannose|putrescine|pyruvate|serine;10.1099/ijs.0.64813-0
Nocardia;Nocardia altamirensis;OFN S17;Nocardia altamirensis OFN S17;other;positive;aerobic;catalasePositive;fructose|galactose|glucose|glycerol|mannitol|mannose|ribose;10.1099/ijs.0.65482-0
Nocardia;Nocardia amamiensis;TT 00-78T;Nocardia amamiensis TT 00-78T;soil;positive;aerobic;aesculinHydrolysis|nitrateReductionToNitrite;glutamicAcid|maltose|mannose|trehalose;10.1099/ijs.0.64829-0
Nocardia;Nocardia amikacinitolerans;W9988;Nocardia amikacinitolerans W9988;human - mouth;positive;aerobic;aesculinHydrolysis|nitrateReductionToNitrite|ureasePositive;arabinose|cellobiose|fructose|maltose|mannitol|mannose|melibiose|myo-inositol|rhamnose|salicin|sucrose|xylose;10.1099/ijs.0.039990-0
Nocardia;Nocardia araoensis;IFM0575T;Nocardia araoensis IFM0575T;other;positive;aerobic;ureasePositive;acetate|citrate|glucose;10.1099/ijs.0.63074-0
Nocardia;Nocardia asiatica;IFM0245T;Nocardia asiatica IFM0245T;other;positive;aerobic;nitrateReductionToNitrite;acetate|citrate|glucose|rhamnose;10.1099/ijs.0.02676-0
Nocardia;Nocardia callitridis;CAP 290;Nocardia callitridis CAP 290;other|plant associated;positive;aerobic;catalasePositive;fructose|galactose|raffinose|ribose|sorbitol|trehalose|xylose|fructose|galactose|raffinose|ribose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.016337-0
Nocardia;Nocardia callitridis;CAP290;Nocardia callitridis CAP290;other;positive;aerobic;catalasePositive;fructose|galactose|raffinose|ribose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.016337-0
Nocardia;Nocardia concava;IFM 0354T;Nocardia concava IFM 0354T;human - skin;positive;aerobic;ureasePositive;arabinose|citrate|galactose|glucose|mannose;10.1099/ijs.0.63280-0
Nocardia;Nocardia coubleae;OFN N12T;Nocardia coubleae OFN N12T;soil;positive;aerobic;;fructose|galactose|glucose|glycerol|maltose|mannitol|mannose|raffinose|ribose|sucrose;10.1099/ijs.0.64815-0
Nocardia;Nocardia elegans;IMMIBN-402T;Nocardia elegans IMMIBN-402T;other;positive;aerobic;aesculinHydrolysis;acetate|glucose;10.1099/ijs.0.63570-0
Nocardia;Nocardia exalbida;IFM 0803;Nocardia exalbida IFM 0803;other;positive;aerobic;ureasePositive;citrate|glucose;10.1099/ijs.0.63850-0
Nocardia;Nocardia goodfellowii;A2012;Nocardia goodfellowii A2012;soil;positive;aerobic;aesculinHydrolysis|gelatinase|nitrateReductionToNitrite|ureasePositive;adonitol|fructose|galactose|glucose|maltose|mannitol|mannose|sorbitol;10.1099/ijs.0.031559-0
Nocardia;Nocardia grenadensis;GW5-5797;Nocardia grenadensis GW5-5797;soil;positive;aerobic;ureasePositive;3-hydroxybenzoate|adonitol|alanine|arabinose|aspartate|cellobiose|fructose|galactose|histidine|malate|maltose|mannitol|mannose|melibiose|phenylacetate|phenylalanine|proline|ribose|salicin|serine|subericAcid|sucrose|trehalose|xylose;10.1099/ijs.0.030684-0
Nocardia;Nocardia higoensis;IFM10084T;Nocardia higoensis IFM10084T;other;positive;aerobic;ureasePositive;;10.1099/ijs.0.63061-0
Nocardia;Nocardia inohanensis;IFM 0092T;Nocardia inohanensis IFM 0092T;other;positive;;ureasePositive;citrate|glucose|mannose;10.1099/ijs.0.02794-0
Nocardia;Nocardia iowensis;NRRL 5646T;Nocardia iowensis NRRL 5646T;soil;positive;;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|ureasePositive;fructose|glucose|maltose|salicin|trehalose;10.1099/ijs.0.007427-0 2408 007427
Nocardia;Nocardia jejuensis;N3-2;Nocardia jejuensis N3-2;other;positive;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|ureasePositive;arabinose|fructose|glucose|glycerol|lactose|melibiose|ribose|salicin|sorbitol|sucrose;10.1099/ijs.0.63866-0
Nocardia;Nocardia jiangxiensis;43401T;Nocardia jiangxiensis 43401T;plant associated;positive;aerobic;catalasePositive;arabinose|cellobiose|fructose|galactose|glucose|glycerol|lactose|maltose|mannose|myo-inositol|raffinose|ribose|sucrose|trehalose|xylose;10.1099/ijs.0.63644-0
Nocardia;Nocardia jinanensis;04-5195T;Nocardia jinanensis 04-5195T;soil;positive;aerobic;aesculinHydrolysis|catalasePositive;cellobiose|dextrin|fructose|galactose|glucose|mannitol|mannose|phenylalanine|raffinose|rhamnose|ribose|salicin|sorbitol|trehalose;DOI 10.1099/ijs.0.002899-0
Nocardia;Nocardia mikamii;W8061;Nocardia mikamii W8061;other;positive;aerobic;nitrateReductionToNitrite;fructose|galactose|glucose|glycerol|salicin|trehalose;10.1099/ijs.0.015594-0
Nocardia;Nocardia miyunensis;117T;Nocardia miyunensis 117T;soil;positive;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;arabinose|cellobiose|fructose|galactose|glucose|glycerol|lactose|maltose|mannose|myo-inositol|raffinose|rhamnose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.63644-0
Nocardia;Nocardia neocaledoniensis;SBHROA6T;Nocardia neocaledoniensis SBHROA6T;soil;positive;aerobic;aesculinHydrolysis|catalasePositive;fructose|mannitol|mannose|raffinose|trehalose|Tween80|urea;10.1099/ijs.0.02881-0
Nocardia;Nocardia niigatensis;IFM 0330T;Nocardia niigatensis IFM 0330T;other;positive;;ureasePositive;glucose|maltose;10.1099/ijs.0.02794-0
Nocardia;Nocardia ninae;OFN 02.72T;Nocardia ninae OFN 02.72T;other;positive;aerobic;catalasePositive|ureasePositive;arabinose|galactose|glucose|maltose;10.1099/ijs.0.64476-0
Nocardia;Nocardia niwae;Nocardia niwae;Nocardia niwae Nocardia niwae;other;positive;aerobic;nitrateReductionToNitrite;citrate|glucose|glycerol|rhamnose|sucrose|trehalose|urea;10.1099/ijs.0.020370-0
Nocardia;Nocardia niwae;W9241;Nocardia niwae W9241;other;positive;aerobic;nitrateReductionToNitrite|ureasePositive;citrate|glucose|glycerol|rhamnose|sucrose|trehalose;10.1099/ijs.0.020370-0
Nocardia;Nocardia niwae;W9241T;Nocardia niwae W9241T;other;positive;aerobic;nitrateReductionToNitrite;citrate|glucose|glycerol|maltose|rhamnose|sucrose|trehalose|urea;10.1099/ijs.0.020370-0
Nocardia;Nocardia pigrifrangens;7031T;Nocardia pigrifrangens 7031T;other;positive;aerobic;catalasePositive|nitrateReductionToNitrite|ureasePositive;3-hydroxybenzoate|acetate|arabinose|cellobiose|ethanol|fructose|gluconicAcid|glucose|glycerol|glycogen|mannose|pyruvate|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.03035-0
Nocardia;Nocardia pneumoniae;IFM0784T;Nocardia pneumoniae IFM0784T;other;positive;aerobic;aesculinHydrolysis|arylsulfatase|nitrateReductionToNitrite;acetate|citrate|glucose;10.1099/ijs.0.63074-0
Nocardia;Nocardia polyresistens;YIM33361T;Nocardia polyresistens YIM33361T;soil;positive;aerobic;catalasePositive;adonitol|alanine|arabinose|asparagine|cellobiose|dextrin|fructose|galactose|glucose|glycerol|histidine|maltose|mannitol|mannose|melibiose|proline|raffinose|ribose|salicin|sucrose|Tween20|Tween80|xylitol|xylose;10.1099/ijs.0.63353-0
Nocardia;Nocardia shimofusensis;IFM10311T;Nocardia shimofusensis IFM10311T;soil;positive;aerobic;ureasePositive;;10.1099/ijs.0.63061-0
Nocardia;Nocardia speluncae;N2-11T;Nocardia speluncae N2-11T;soil;positive;;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;2,3-butanediol|acetate|dextrin|glucose|malate|maltose|mannitol|sucrose|trehalose;10.1099/ijs.0.65085-0
Nocardia;Nocardia takedensis;MS1-3T;Nocardia takedensis MS1-3T;estuarine sediment;positive;aerobic;aesculinHydrolysis|nitrateReductionToNitrite|ureasePositive;acetate|galactose|glucose|mannose|sucrose;10.1099/ijs.0.63189-0
Nocardia;Nocardia tenerifensis;GW39-1573T;Nocardia tenerifensis GW39-1573T;soil;positive;;aesculinHydrolysis|oxidasePositive|ureasePositive;3-hydroxybutyrate|alanine|aspartate|citrate|histidine|leucine|mannitol|N-acetylgulcosamine|proline|pyruvate|ribose|serine|trehalose;10.1099/ijs.0.02841-0
Nocardia;Nocardia terpenica;IFM 0706T;Nocardia terpenica IFM 0706T;human - mouth;positive;aerobic;ureasePositive;adonitol|citrate|galactose|sorbitol;10.1099/ijs.0.64695-0
Nocardia;Nocardia thraciensis;A2019;Nocardia thraciensis A2019;soil;positive;aerobic;aesculinHydrolysis|gelatinase|ureasePositive;arabinose|dextrin|fructose|galactose|glucose|maltose|mannitol|mannose|rhamnose|salicin|sorbitol|sucrose|Tween20|xylose;10.1099/ijs.0.031559-0
Nocardia;Nocardia xishanensis;276T;Nocardia xishanensis 276T;soil;positive;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|ureasePositive;acetate|adipate|cellobiose|fructose|fucose|galactose|glucose|glycerol|lactate|malate|maltose|mannose|melibiose|pyruvate|rhamnose|ribose|salicin|sorbitol|sucrose;10.1099/ijs.0.63133-0
Nocardia;Nocardia yamanashiensis;IFM 0265T;Nocardia yamanashiensis IFM 0265T;other;positive;;ureasePositive;citrate|gluconicAcid|glucose|mannose;10.1099/ijs.0.02794-0
Nocardioides;Nocardioides aestuarii;JC2056T;Nocardioides aestuarii JC2056T;estuarine sediment;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase;cellobiose|citrate|fructose|galactose|glucose|glycerol|lactose|mannitol|mannose|raffinose|ribose|salicin|Tween80|xylose;10.1099/ijs.0.63192-0
Nocardioides;Nocardioides agariphilus;MSL-28;Nocardioides agariphilus MSL-28;soil;positive;aerobic;;melibiose|raffinose;10.1099/ijs.0.65566-0
Nocardioides;Nocardioides albertanoniae;CD40127;Nocardioides albertanoniae CD40127;other;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase;arabinose|gluconicAcid|glucose|malate|maltose|mannitol|mannose|N-acetylgulcosamine;10.1099/ijs.0.043885-0
Nocardioides;Nocardioides alkalitolerans;KSL-1T;Nocardioides alkalitolerans KSL-1T;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|nitrateReductionToNitrite|oxidasePositive;arabinose|cellobiose|raffinose|trehalose|Tween20|Tween40|Tween60;10.1099/ijs.0.63374-0
Nocardioides;Nocardioides alpinus;Cr7-14;Nocardioides alpinus Cr7-14;other;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite;arabinose|gluconicAcid|glucose|malate|maltose|mannitol|mannose|Tween80;10.1099/ijs.0.031047-0
Nocardioides;Nocardioides aquiterrae;GW-9T ;Nocardioides aquiterrae GW-9T;other;positive;aerobic;oxidasePositive;rhamnose|ribose|Tween80;10.1099/ijs.0.02585-0
Nocardioides;Nocardioides basaltis;J112T;Nocardioides basaltis J112T;marine sediment;positive;aerobic;alkalinePhosphatase|catalasePositive|gelatinase;arabitol|cellobiose|gelatin|gluconicAcid|glucose|mannitol|salicin|sucrose|trehalose;10.1099/ijs.0.65785-0
Nocardioides;Nocardioides bigeumensis;MSL-19;Nocardioides bigeumensis MSL-19;soil;positive;aerobic;;lactose|mannose|melibiose;10.1099/ijs.0.65566-0
Nocardioides;Nocardioides caeni;MN8T;Nocardioides caeni MN8T;wastewater;positive;aerobic;aesculinHydrolysis|H2Sproduction|indoleProduction|oxidasePositive;arabinose|cellobiose|rhamnose|Tween20|Tween40|Tween60|Tween80;10.1099/ijs.0.010124-0
