microbedir_genus;microbedir_species;microbedir_strain;microbedir_speciesStrain;microbedir_gram;microbedir_source;microbedir_abSusceptible;microbedir_extremophile;microbedir_pathogenicity
Alicyclobacillus;Alicyclobacillus hesperidum;;Alicyclobacillus hesperidum;positive;;no;yes;
Alicyclobacillus;Alicyclobacillus pohliae;;Alicyclobacillus pohliae;positive;;no;yes;
Aliivibrio;Aliivibrio fischeri;;Aliivibrio fischeri;negative;;;no;
Aliivibrio;Aliivibrio logei;;Aliivibrio logei;;;;;
Aliivibrio;Aliivibrio salmonicida;;Aliivibrio salmonicida;negative;;;;
Alishewanella;Alishewanella aestuarii;;Alishewanella aestuarii;negative;humanMicrobiome;no;no;
Alishewanella;Alishewanella agri;;Alishewanella agri;negative;;;no;
Alishewanella;Alishewanella jeotgali;;Alishewanella jeotgali;negative;;;no;
Alistipes;Alistipes finegoldii;;Alistipes finegoldii;negative;;yes;no;animal
Alistipes;Alistipes indistinctus;;Alistipes indistinctus;negative;humanMicrobiome;;no;
Alistipes;Alistipes onderdonkii;;Alistipes onderdonkii;negative;;;no;
Alistipes;Alistipes putredinis;;Alistipes putredinis;negative;humanMicrobiome;;no;
Alistipes;Alistipes senegalensis;;Alistipes senegalensis;negative;;no;yes;
Alistipes;Alistipes shahii;;Alistipes shahii;negative;humanMicrobiome;;no;
Alistipes;Alistipes sp. ;AP11;Alistipes sp. AP11;negative;;;;
Alistipes;Alistipes sp. ;HGB5;Alistipes sp. HGB5;negative;;;;
Alistipes;Alistipes sp. ;JC136;Alistipes sp. JC136;negative;;;;
Alkalibacillus;Alkalibacillus haloalkaliphilus;;Alkalibacillus haloalkaliphilus;positive;;;yes;
Alkalilimnicola;Alkalilimnicola ehrlichii;;Alkalilimnicola ehrlichii;negative;;no;yes;
Alkaliphilus;Alkaliphilus metalliredigens;;Alkaliphilus metalliredigens;positive;;;yes;
Alkaliphilus;Alkaliphilus oremlandii;;Alkaliphilus oremlandii;positive;;;yes;
Allobaculum;Allobaculum stercoricanis;;Allobaculum stercoricanis;positive;;;no;
Allochromatium;Allochromatium vinosum;;Allochromatium vinosum;negative;;;;
Allofustis;Allofustis seminis;;Allofustis seminis;positive;;;no;
Alloiococcus;Alloiococcus otitis;;Alloiococcus otitis;positive;humanMicrobiome;;;
Alloprevotella;Alloprevotella rava;;Alloprevotella rava;negative;;;no;
Alloprevotella;Alloprevotella tannerae;;Alloprevotella tannerae;negative;;;no;
Alloscardovia;Alloscardovia omnicolens;;Alloscardovia omnicolens;positive;humanMicrobiome;;no;
alpha;alpha proteobacterium;BAL199;alpha proteobacterium BAL199;negative;;;no;animal
alpha;alpha proteobacterium;HIMB114;alpha proteobacterium HIMB114;negative;;;no;animal
alpha;alpha proteobacterium;HIMB5;alpha proteobacterium HIMB5;negative;;;no;animal
alpha;alpha proteobacterium;HIMB59;alpha proteobacterium HIMB59;negative;;;no;animal
alpha;alpha proteobacterium;SCGC AAA024 N17;alpha proteobacterium SCGC AAA024 N17;negative;;;no;animal
alpha;alpha proteobacterium;SCGC AAA027 C06;alpha proteobacterium SCGC AAA027 C06;negative;;;no;animal
alpha;alpha proteobacterium;SCGC AAA027 J10;alpha proteobacterium SCGC AAA027 J10;negative;;no;no;plant
alpha;alpha proteobacterium;SCGC AAA027 L15;alpha proteobacterium SCGC AAA027 L15;negative;;no;no;plant
alpha;alpha proteobacterium;SCGC AAA280 B11;alpha proteobacterium SCGC AAA280 B11;negative;;no;no;plant
alpha;alpha proteobacterium;SCGC AAA280 P20;alpha proteobacterium SCGC AAA280 P20;negative;;no;no;plant
alpha;alpha proteobacterium;SCGC AAA300 J04;alpha proteobacterium SCGC AAA300 J04;negative;;no;no;plant
Alternanthera;Alternanthera yellow ;vein betasatellite;Alternanthera yellow vein betasatellite;;;;no;
Alteromonadales;Alteromonadales bacterium;TW 7;Alteromonadales bacterium TW 7;negative;;;;
Alteromonas;Alteromonas macleodii;;Alteromonas macleodii;negative;;;no;
Alteromonas;Alteromonas phage ;vB AmaP AD45 P;Alteromonas phage vB AmaP AD45 P;;;;no;
Alteromonas;Alteromonas sp. ;SN2;Alteromonas sp. SN2;negative;;;;
Aminobacterium;Aminobacterium colombiense;;Aminobacterium colombiense;negative;;no;no;
Aminomonas;Aminomonas paucivorans;;Aminomonas paucivorans;;;no;no;
Ammonifex;Ammonifex degensii;;Ammonifex degensii;negative;;;yes;
Amorphus;Amorphus coralli;;Amorphus coralli;;;;no;
Amphibacillus;Amphibacillus jilinensis;;Amphibacillus jilinensis;positive;;;yes;
Amphibacillus;Amphibacillus xylanus;;Amphibacillus xylanus;positive;;no;yes;
Amphritea;Amphritea japonica;;Amphritea japonica;negative;;yes;;
Amycolatopsis;Amycolatopsis alba;;Amycolatopsis alba;positive;;yes;no;
Amycolatopsis;Amycolatopsis balhimycina;;Amycolatopsis balhimycina;positive;;;no;
Amycolatopsis;Amycolatopsis benzoatilytica;;Amycolatopsis benzoatilytica;positive;;;no;
Amycolatopsis;Amycolatopsis decaplanina;;Amycolatopsis decaplanina;positive;;;no;
Amycolatopsis;Amycolatopsis halophila;;Amycolatopsis halophila;positive;;yes;yes;
Amycolatopsis;Amycolatopsis mediterranei;;Amycolatopsis mediterranei;positive;;;no;
Amycolatopsis;Amycolatopsis methanolica;;Amycolatopsis methanolica;positive;;;no;
Amycolatopsis;Amycolatopsis nigrescens;;Amycolatopsis nigrescens;positive;;yes;no;
Amycolatopsis;Amycolatopsis orientalis;;Amycolatopsis orientalis;positive;;;no;
Amycolatopsis;Amycolatopsis sp. ;ATCC 39116;Amycolatopsis sp. ATCC 39116;positive;;;no;
Amycolatopsis;Amycolatopsis vancoresmycina;;Amycolatopsis vancoresmycina;positive;;;no;
Amycolicicoccus;Amycolicicoccus subflavus;;Amycolicicoccus subflavus;positive;;yes;yes;
Anabaena;Anabaena sp. ;90;Anabaena sp. 90;negative;;no;;
Anabaena;Anabaena sp. ;PCC 7108;Anabaena sp. PCC 7108;negative;;no;;
Anabaena;Anabaena variabilis;;Anabaena variabilis;;;no;no;
Anaerobaculum;Anaerobaculum hydrogeniformans;;Anaerobaculum hydrogeniformans;negative;humanMicrobiome;;yes;
Anaerobaculum;Anaerobaculum mobile;;Anaerobaculum mobile;negative;;;yes;
Anaerococcus;Anaerococcus hydrogenalis;;Anaerococcus hydrogenalis;positive;;;;
Anaerococcus;Anaerococcus lactolyticus;;Anaerococcus lactolyticus;positive;;;;
Anaerococcus;Anaerococcus obesiensis;;Anaerococcus obesiensis;positive;;;;
Anaerococcus;Anaerococcus prevotii;;Anaerococcus prevotii;positive;;yes;no;
Anaerococcus;Anaerococcus sp. ;PH9;Anaerococcus sp. PH9;positive;;yes;no;
Anaerococcus;Anaerococcus tetradius;;Anaerococcus tetradius;positive;;;;
Anaerococcus;Anaerococcus vaginalis;;Anaerococcus vaginalis;positive;humanMicrobiome;yes;no;
Anaerofustis;Anaerofustis stercorihominis;;Anaerofustis stercorihominis;positive;;;;
Anaeroglobus;Anaeroglobus geminatus;;Anaeroglobus geminatus;negative;humanMicrobiome;;no;
Anaerolinea;Anaerolinea thermophila;;Anaerolinea thermophila;negative;;no;yes;
Anaeromusa;Anaeromusa acidaminophila;;Anaeromusa acidaminophila;positive;;;no;
Anaeromyxobacter;Anaeromyxobacter dehalogenans;;Anaeromyxobacter dehalogenans;negative;;;no;
Anaeromyxobacter;Anaeromyxobacter sp. ;Fw109 5;Anaeromyxobacter sp. Fw109 5;negative;;;;
Anaeromyxobacter;Anaeromyxobacter sp. ;K;Anaeromyxobacter sp. K;negative;;;no;
Anaerophaga;Anaerophaga thermohalophila;;Anaerophaga thermohalophila;negative;;;yes;
Anaerostipes;Anaerostipes caccae;;Anaerostipes caccae;positive;humanMicrobiome;;no;
Anaerostipes;Anaerostipes hadrus;;Anaerostipes hadrus;positive;humanMicrobiome;;no;
Anaerostipes;Anaerostipes sp. ;3 2 56FAA;Anaerostipes sp. 3 2 56FAA;positive;humanMicrobiome;;no;
Anaerotruncus;Anaerotruncus colihominis;;Anaerotruncus colihominis;positive;humanMicrobiome;;no;
Anaerotruncus;Anaerotruncus sp. ;G3 2012;Anaerotruncus sp. G3 2012;;;;;
Anaplasma;Anaplasma centrale;;Anaplasma centrale;negative;;;;
Anaplasma;Anaplasma marginale;;Anaplasma marginale;negative;;;;
Anaplasma;Anaplasma phagocytophilum;;Anaplasma phagocytophilum;negative;;;;
Ancylobacter;Ancylobacter sp. ;FA202;Ancylobacter sp. FA202;negative;;;;
Aneurinibacillus;Aneurinibacillus aneurinilyticus;;Aneurinibacillus aneurinilyticus;positive;;;no;
Anoxybacillus;Anoxybacillus flavithermus;;Anoxybacillus flavithermus;positive;;;yes;
Anoxybacillus;Anoxybacillus kamchatkensis;;Anoxybacillus kamchatkensis;positive;;;yes;
Anoxybacillus;Anoxybacillus sp. ;DT3 1;Anoxybacillus sp. DT3 1;positive;;;;
Anoxybacillus;Anoxybacillus sp. ;SK3 4;Anoxybacillus sp. SK3 4;positive;;;;
Apple;Apple dimple ;fruit viroid;Apple dimple fruit viroid;;;;no;plant
Apple;Apple fruit ;crinkle viroid;Apple fruit crinkle viroid;;;;no;plant
Apple;Apple scar ;skin viroid;Apple scar skin viroid;;;;no;plant
Aquaspirillum;Aquaspirillum serpens;;Aquaspirillum serpens;negative;;;no;
Aquifex;Aquifex aeolicus;;Aquifex aeolicus;negative;;no;yes;
Aquimarina;Aquimarina agarilytica;;Aquimarina agarilytica;negative;;no;;
Arcanobacterium;Arcanobacterium haemolyticum;;Arcanobacterium haemolyticum;positive;humanMicrobiome;yes;no;
Archaeoglobus;Archaeoglobus fulgidus;;Archaeoglobus fulgidus;;;;yes;
Archaeoglobus;Archaeoglobus profundus;;Archaeoglobus profundus;;;;yes;
Archaeoglobus;Archaeoglobus sulfaticallidus;;Archaeoglobus sulfaticallidus;;;;yes;
Archaeoglobus;Archaeoglobus veneficus;;Archaeoglobus veneficus;;;;yes;
Arcobacter;Arcobacter butzleri;;Arcobacter butzleri;negative;;yes;;animal
Arcobacter;Arcobacter nitrofigilis;;Arcobacter nitrofigilis;negative;;;no;
Arcobacter;Arcobacter sp. ;L;Arcobacter sp. L;;;;;
Arcticibacter;Arcticibacter svalbardensis;;Arcticibacter svalbardensis;negative;;no;yes;
Arenimonas;Arenimonas oryziterrae;;Arenimonas oryziterrae;negative;;yes;no;
Arhodomonas;Arhodomonas aquaeolei;;Arhodomonas aquaeolei;negative;;no;no;
Aromatoleum;Aromatoleum aromaticum;;Aromatoleum aromaticum;negative;;;no;
Arthrobacter;Arthrobacter arilaitensis;;Arthrobacter arilaitensis;positive;;;no;
Arthrobacter;Arthrobacter aurescens;;Arthrobacter aurescens;positive;;;yes;
Arthrobacter;Arthrobacter chlorophenolicus;;Arthrobacter chlorophenolicus;positive;;;yes;
Arthrobacter;Arthrobacter crystallopoietes;;Arthrobacter crystallopoietes;positive;;;no;
Arthrobacter;Arthrobacter gangotriensis;;Arthrobacter gangotriensis;positive;;;no;
Arthrobacter;Arthrobacter globiformis;;Arthrobacter globiformis;positive;;;no;
Arthrobacter;Arthrobacter phenanthrenivorans;;Arthrobacter phenanthrenivorans;positive;;yes;yes;
Arthrobacter;Arthrobacter sp. ;131MFCol6 1;Arthrobacter sp. 131MFCol6 1;positive;;;no;
Arthrobacter;Arthrobacter sp. ;135MFCol5 1;Arthrobacter sp. 135MFCol5 1;positive;;;no;
Arthrobacter;Arthrobacter sp. ;161MFSha2 1;Arthrobacter sp. 161MFSha2 1;positive;;;no;
Arthrobacter;Arthrobacter sp. ;162MFSha1 1;Arthrobacter sp. 162MFSha1 1;positive;;;no;
Arthrobacter;Arthrobacter sp. ;AK YN10;Arthrobacter sp. AK YN10;positive;;;yes;
Arthrobacter;Arthrobacter sp. ;FB24;Arthrobacter sp. FB24;positive;;;no;
Arthrobacter;Arthrobacter sp. ;M2012083;Arthrobacter sp. M2012083;positive;;;no;
Arthrobacter;Arthrobacter sp. ;PAO19;Arthrobacter sp. PAO19;positive;;;;plant
Arthrobacter;Arthrobacter sp. ;Rue61a;Arthrobacter sp. Rue61a;positive;;;;
Arthrobacter;Arthrobacter sp. ;SJCon;Arthrobacter sp. SJCon;positive;;;;
Arthrobacter;Arthrobacter sp. ;TB 23;Arthrobacter sp. TB 23;positive;;;;
Arthroderma;Arthroderma benhamiae;;Arthroderma benhamiae;;;no;no;animal
Arthroderma;Arthroderma gypseum;;Arthroderma gypseum;;;no;no;animal
Arthroderma;Arthroderma otae;;Arthroderma otae;;;no;no;animal
Arthrospira;Arthrospira maxima;;Arthrospira maxima;negative;;no;no;
Arthrospira;Arthrospira platensis;;Arthrospira platensis;negative;;no;no;
Arthrospira;Arthrospira sp. ;PCC 8005;Arthrospira sp. PCC 8005;negative;;no;;
Asaia;Asaia sp. ;SF2 1;Asaia sp. SF2 1;negative;;;;
Aspergillus;Aspergillus clavatus;;Aspergillus clavatus;;;no;no;animal
Aspergillus;Aspergillus flavus;;Aspergillus flavus;;;no;no;animal
Aspergillus;Aspergillus fumigatus;;Aspergillus fumigatus;;;no;yes;
Aspergillus;Aspergillus nidulans;;Aspergillus nidulans;;;no;no;
Aspergillus;Aspergillus niger;;Aspergillus niger;;;no;no;
Aspergillus;Aspergillus oryzae;;Aspergillus oryzae;;;;no;
Aspergillus;Aspergillus terreus;;Aspergillus terreus;;;no;no;animal|plant
Aster;Aster yellows;witches broom phytoplasma;Aster yellows witches broom phytoplasma;positive;;;no;plant
Asticcacaulis;Asticcacaulis benevestitus;;Asticcacaulis benevestitus;negative;;yes;yes;
Asticcacaulis;Asticcacaulis biprosthecium;;Asticcacaulis biprosthecium;negative;;;no;
Asticcacaulis;Asticcacaulis excentricus;;Asticcacaulis excentricus;negative;;;no;
Asticcacaulis;Asticcacaulis sp. ;AC402;Asticcacaulis sp. AC402;;;;no;
Asticcacaulis;Asticcacaulis sp. ;AC460;Asticcacaulis sp. AC460;;;;no;
Asticcacaulis;Asticcacaulis sp. ;AC466;Asticcacaulis sp. AC466;;;;no;
Asticcacaulis;Asticcacaulis sp. ;YBE204;Asticcacaulis sp. YBE204;;;;no;
Atopobium;Atopobium minutum;;Atopobium minutum;positive;;;no;animal
Atopobium;Atopobium parvulum;;Atopobium parvulum;positive;humanMicrobiome;;no;animal
Atopobium;Atopobium rimae;;Atopobium rimae;positive;humanMicrobiome;;no;animal
Atopobium;Atopobium sp. ;BV3Ac4;Atopobium sp. BV3Ac4;positive;humanMicrobiome;;;
Atopobium;Atopobium sp. ;ICM58;Atopobium sp. ICM58;positive;humanMicrobiome;;;
Atopobium;Atopobium sp. ;oral taxon 199;Atopobium sp. oral taxon 199;positive;humanMicrobiome;;;
Atopobium;Atopobium sp. ;oral taxon 810;Atopobium sp. oral taxon 810;;humanMicrobiome;;no;
Atopobium;Atopobium vaginae;;Atopobium vaginae;positive;humanMicrobiome;;no;animal
Aurantimonas;Aurantimonas manganoxydans;;Aurantimonas manganoxydans;negative;;;;
Aureimonas;Aureimonas ureilytica;;Aureimonas ureilytica;negative;;no;no;
Australian;Australian grapevine ;viroid;Australian grapevine viroid;;;;no;plant
Austwickia;Austwickia chelonae;;Austwickia chelonae;positive;;;no;
Avibacterium;Avibacterium paragallinarum;;Avibacterium paragallinarum;negative;;;no;animal
Avocado;Avocado sunblotch ;viroid;Avocado sunblotch viroid;;;;no;plant
Azoarcus;Azoarcus sp. ;BH72;Azoarcus sp. BH72;;;;no;
Azoarcus;Azoarcus sp. ;KH32C;Azoarcus sp. KH32C;;;;no;
Azoarcus;Azoarcus toluclasticus;;Azoarcus toluclasticus;negative;;;;
Azorhizobium;Azorhizobium caulinodans;;Azorhizobium caulinodans;;;;;
Azospira;Azospira oryzae;;Azospira oryzae;;;;;
Azospirillum;Azospirillum amazonense;;Azospirillum amazonense;negative;;;no;
Azospirillum;Azospirillum brasilense;;Azospirillum brasilense;negative;;;no;
Azospirillum;Azospirillum lipoferum;;Azospirillum lipoferum;positive;;;no;
Azospirillum;Azospirillum phage ;Cd;Azospirillum phage Cd;;;;no;
Azotobacter;Azotobacter vinelandii;;Azotobacter vinelandii;;;;;
Babesia;Babesia bovis;;Babesia bovis;;;no;no;animal
Bacillus;Bacillus acidiproducens;;Bacillus acidiproducens;positive;;;yes;
Bacillus;Bacillus alcalophilus;;Bacillus alcalophilus;positive;;;yes;
Bacillus;Bacillus amyloliquefaciens;;Bacillus amyloliquefaciens;positive;;no;;
Bacillus;Bacillus anthracis;;Bacillus anthracis;positive;;yes;no;animal
Bacillus;Bacillus atrophaeus;;Bacillus atrophaeus;positive;;;no;
Bacillus;Bacillus azotoformans;;Bacillus azotoformans;positive;;no;no;
Bacillus;Bacillus bataviensis;;Bacillus bataviensis;positive;;no;no;
Bacillus;Bacillus cellulosilyticus;;Bacillus cellulosilyticus;positive;;no;yes;
Bacillus;Bacillus cereus;thuringiensis;Bacillus cereus thuringiensis;positive;humanMicrobiome;;;
Bacillus;Bacillus clausii;;Bacillus clausii;;;;;
Bacillus;Bacillus coagulans;;Bacillus coagulans;;;;;
Bacillus;Bacillus coahuilensis;;Bacillus coahuilensis;;;;;
Bacillus;Bacillus cytotoxicus;;Bacillus cytotoxicus;;;;;
Bacillus;Bacillus endophyticus;;Bacillus endophyticus;;;;;
Bacillus;Bacillus fordii;;Bacillus fordii;;;;;
Bacillus;Bacillus halodurans;;Bacillus halodurans;;;;;
Bacillus;Bacillus infantis;;Bacillus infantis;;;;;
Bacillus;Bacillus isronensis;;Bacillus isronensis;;;;no;
Bacillus;Bacillus licheniformis;;Bacillus licheniformis;;;;;
Bacillus;Bacillus macauensis;;Bacillus macauensis;positive;;;no;
Bacillus;Bacillus marmarensis;;Bacillus marmarensis;positive;;;no;
Bacillus;Bacillus megaterium;;Bacillus megaterium;positive;;;no;
Bacillus;Bacillus methanolicus;;Bacillus methanolicus;positive;;;;
Bacillus;Bacillus mojavensis;;Bacillus mojavensis;;;;no;
Bacillus;Bacillus mycoides;;Bacillus mycoides;positive;;;no;
Bacillus;Bacillus nealsonii;;Bacillus nealsonii;positive;;;no;
Bacillus;Bacillus oceanisediminis;;Bacillus oceanisediminis;positive;;;;
Bacillus;Bacillus phage ;0305phi8 36;Bacillus phage 0305phi8 36;;;;no;
Bacillus;Bacillus phage ;Andromeda;Bacillus phage Andromeda;;;;no;
Bacillus;Bacillus phage ;AP50;Bacillus phage AP50;positive;;no;no;animal
Bacillus;Bacillus phage ;B103;Bacillus phage B103;;;;no;
Bacillus;Bacillus phage ;B4;Bacillus phage B4;;;;no;
Bacillus;Bacillus phage ;Bastille;Bacillus phage Bastille;;;;no;
Bacillus;Bacillus phage ;BCD7;Bacillus phage BCD7;;;;no;
Bacillus;Bacillus phage ;BCJA1c;Bacillus phage BCJA1c;;;;no;
Bacillus;Bacillus phage ;BCP78;Bacillus phage BCP78;;;;no;
Bacillus;Bacillus phage ;BMBtp2;Bacillus phage BMBtp2;;;;no;
Bacillus;Bacillus phage ;BPS13;Bacillus phage BPS13;;;;no;
Bacillus;Bacillus phage ;BtCS33;Bacillus phage BtCS33;;;;no;
Bacillus;Bacillus phage ;CampHawk;Bacillus phage CampHawk;;;;no;
Bacillus;Bacillus phage ;Cherry;Bacillus phage Cherry;;;;no;
Bacillus;Bacillus phage ;Curly;Bacillus phage Curly;;;;no;
Bacillus;Bacillus phage ;Eoghan;Bacillus phage Eoghan;;;;no;
Bacillus;Bacillus phage ;Fah;Bacillus phage Fah;;;;no;
Bacillus;Bacillus phage ;Finn;Bacillus phage Finn;;;;no;
Bacillus;Bacillus phage ;GA 1;Bacillus phage GA 1;;;;no;
Bacillus;Bacillus phage ;Gamma;Bacillus phage Gamma;;;;no;
Bacillus;Bacillus phage ;GIL16c;Bacillus phage GIL16c;positive;;no;no;animal
Bacillus;Bacillus phage ;IEBH;Bacillus phage IEBH;;;;no;
Bacillus;Bacillus phage ;MG B1;Bacillus phage MG B1;;;;no;
Bacillus;Bacillus phage ;PBC1;Bacillus phage PBC1;;;;no;
Bacillus;Bacillus phage ;phBC6A51;Bacillus phage phBC6A51;;;;;
Bacillus;Bacillus phage ;phBC6A52;Bacillus phage phBC6A52;;;;;
Bacillus;Bacillus phage ;phi105;Bacillus phage phi105;;;;no;
Bacillus;Bacillus phage ;phi29;Bacillus phage phi29;;;;no;
Bacillus;Bacillus phage ;phiAGATE;Bacillus phage phiAGATE;;;;no;
Bacillus;Bacillus phage ;phiNIT1;Bacillus phage phiNIT1;;;;no;
Bacillus;Bacillus phage ;phIS3501;Bacillus phage phIS3501;;;;no;
Bacillus;Bacillus phage ;PM1;Bacillus phage PM1;;;;no;
Bacillus;Bacillus phage ;SP10;Bacillus phage SP10;;;;no;
Bacillus;Bacillus phage ;SPbeta;Bacillus phage SPbeta;;humanMicrobiome;;no;
Bacillus;Bacillus phage ;SPO1;Bacillus phage SPO1;;;;no;
Bacillus;Bacillus phage ;SPP1;Bacillus phage SPP1;;;;no;
Bacillus;Bacillus phage ;TP21 L;Bacillus phage TP21 L;;;;no;
Bacillus;Bacillus phage ;Troll;Bacillus phage Troll;;;;no;
Bacillus;Bacillus phage ;vB BceM Bc431v3;Bacillus phage vB BceM Bc431v3;;;;no;
Bacillus;Bacillus phage ;W Ph;Bacillus phage W Ph;;;;no;
Bacillus;Bacillus phage ;WBeta;Bacillus phage WBeta;;;;no;
Bacillus;Bacillus phage ;Wip1;Bacillus phage Wip1;positive;;no;no;animal
Bacillus;Bacillus pseudofirmus;;Bacillus pseudofirmus;;;;;
Bacillus;Bacillus pseudomycoides;;Bacillus pseudomycoides;;;;;
Bacillus;Bacillus pumilus;;Bacillus pumilus;positive;;;no;
Bacillus;Bacillus selenitireducens;;Bacillus selenitireducens;positive;;;no;
Bacillus;Bacillus siamensis;;Bacillus siamensis;positive;;;;
Bacillus;Bacillus smithii;;Bacillus smithii;positive;;;yes;
Bacillus;Bacillus sonorensis;;Bacillus sonorensis;positive;;;;
Bacillus;Bacillus sp. ;10403023;Bacillus sp. 10403023;;;;;
Bacillus;Bacillus sp. ;105MF;Bacillus sp. 105MF;;;;;
Bacillus;Bacillus sp. ;123MFChir2;Bacillus sp. 123MFChir2;;;;;
Bacillus;Bacillus sp. ;17376;Bacillus sp. 17376;;;;;
Bacillus;Bacillus sp. ;1NLA3E;Bacillus sp. 1NLA3E;;;;;
Bacillus;Bacillus sp. ;2 A 57 CT2;Bacillus sp. 2 A 57 CT2;;;;;
Bacillus;Bacillus sp. ;37MA;Bacillus sp. 37MA;;;;;
Bacillus;Bacillus sp. ;5B6;Bacillus sp. 5B6;;;;;
Bacillus;Bacillus sp. ;7 6 55CFAA CT2;Bacillus sp. 7 6 55CFAA CT2;;;;;
Bacillus;Bacillus sp. ;916;Bacillus sp. 916;;;;;
Bacillus;Bacillus sp. ;95MFCvi2 1;Bacillus sp. 95MFCvi2 1;;;;;
Bacillus;Bacillus sp. ;AP8;Bacillus sp. AP8;;;;;
Bacillus;Bacillus sp. ;B14905;Bacillus sp. B14905;;;;;
Bacillus;Bacillus sp. ;BT1B CT2;Bacillus sp. BT1B CT2;;;;;
Bacillus;Bacillus sp. ;CPSM8;Bacillus sp. CPSM8;;;;;
Bacillus;Bacillus sp. ;EGD AK10;Bacillus sp. EGD AK10;;;;;
Bacillus;Bacillus sp. ;FJAT 13831;Bacillus sp. FJAT 13831;;;;;
Bacillus;Bacillus sp. ;HYC 10;Bacillus sp. HYC 10;;;;;
Bacillus;Bacillus sp. ;JC63;Bacillus sp. JC63;;;;;
Bacillus;Bacillus sp. ;JS;Bacillus sp. JS;;;;;
Bacillus;Bacillus sp. ;L1 2012;Bacillus sp. L1 2012;;;;;
Bacillus;Bacillus sp. ;M 2 6;Bacillus sp. M 2 6;;;;;
Bacillus;Bacillus sp. ;m3 13;Bacillus sp. m3 13;;;;;
Bacillus;Bacillus sp. ;NRRL B 14911;Bacillus sp. NRRL B 14911;;;;;
Bacillus;Bacillus sp. ;SG 1;Bacillus sp. SG 1;;;;;
Bacillus;Bacillus sp. ;WBUNB001;Bacillus sp. WBUNB001;;;;;
Bacillus;Bacillus sp. ;WBUNB004;Bacillus sp. WBUNB004;;;;;
Bacillus;Bacillus sp. ;WBUNB009;Bacillus sp. WBUNB009;;;;;
Bacillus;Bacillus sp. ;ZYK;Bacillus sp. ZYK;;;;;
Bacillus;Bacillus subtilis;;Bacillus subtilis;positive;;;no;
Bacillus;Bacillus toyonensis;;Bacillus toyonensis;;;;;
Bacillus;Bacillus vallismortis;;Bacillus vallismortis;;;;;
