# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	1	5392	-							EII11_09545	5392		partial
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	1	5392	-	RRC94548.1			type IV secretion protein Rhs			EII11_09545	5392	1797	partial
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	5625	5897	+							EII11_09550	273		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	5625	5897	+	RRC94549.1			hypothetical protein			EII11_09550	273	90	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	5908	6696	-							EII11_09555	789		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	5908	6696	-	RRC94550.1			16S rRNA (uracil(1498)-N(3))-methyltransferase			EII11_09555	789	262	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	6890	8002	-					dnaJ		EII11_09560	1113		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	6890	8002	-	RRC94551.1			molecular chaperone DnaJ	dnaJ		EII11_09560	1113	370	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	8034	9050	-					hrcA		EII11_09565	1017		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	8034	9050	-	RRC94552.1			heat-inducible transcriptional repressor HrcA	hrcA		EII11_09565	1017	338	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	9202	10095	-							EII11_09570	894		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	9202	10095	-	RRC94553.1			DUF3097 domain-containing protein			EII11_09570	894	297	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	10228	11184	-							EII11_09575	957		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	10228	11184	-	RRC94554.1			glycosyl hydrolase family 32			EII11_09575	957	318	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	11215	12141	-							EII11_09580	927		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	11215	12141	-	RRC94555.1			carbohydrate ABC transporter permease			EII11_09580	927	308	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	12144	12986	-							EII11_09585	843		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	12144	12986	-	RRC94592.1			sugar ABC transporter permease			EII11_09585	843	280	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	13191	14468	-							EII11_09590	1278		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	13191	14468	-	RRC94593.1			extracellular solute-binding protein			EII11_09590	1278	425	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	14559	15614	-							EII11_09595	1056		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	14559	15614	-	RRC94556.1			LacI family DNA-binding transcriptional regulator			EII11_09595	1056	351	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	15927	16358	-							EII11_09600	432		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	15927	16358	-	RRC94557.1			cupin domain-containing protein			EII11_09600	432	143	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	16521	17813	-							EII11_09605	1293		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	16521	17813	-	RRC94558.1			radical SAM protein			EII11_09605	1293	430	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	17818	18741	-					trmB		EII11_09610	924		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	17818	18741	-	RRC94559.1			tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB		EII11_09610	924	307	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	18749	20608	-							EII11_09615	1860		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	18749	20608	-	RRC94560.1			elongation factor 4			EII11_09615	1860	619	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	20907	21965	-							EII11_09620	1059		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	20907	21965	-	RRC94561.1			hypothetical protein			EII11_09620	1059	352	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	22269	22529	+							EII11_09625	261		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	22269	22529	+	RRC94562.1			30S ribosomal protein S20			EII11_09625	261	86	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	22640	23644	-					holA		EII11_09630	1005		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	22640	23644	-	RRC94563.1			DNA polymerase III subunit delta	holA		EII11_09630	1005	334	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	23631	25283	-							EII11_09635	1653		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	23631	25283	-	RRC94564.1			ComEC/Rec2 family competence protein			EII11_09635	1653	550	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	25290	25820	-							EII11_09640	531		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	25290	25820	-	RRC94594.1			ComEA family DNA-binding protein			EII11_09640	531	176	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	26334	28268	+							EII11_09645	1935		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	26334	28268	+	RRC94565.1			DUF853 family protein			EII11_09645	1935	644	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	28410	29222	+					proC		EII11_09650	813		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	28410	29222	+	RRC94566.1			pyrroline-5-carboxylate reductase	proC		EII11_09650	813	270	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	29299	30648	+							EII11_09655	1350		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	29299	30648	+	RRC94567.1			sodium:proton antiporter			EII11_09655	1350	449	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	31115	31921	-							EII11_09660	807		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	31115	31921	-	RRC94568.1			sulfite exporter TauE/SafE family protein			EII11_09660	807	268	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	32216	34942	+					valS		EII11_09665	2727		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	32216	34942	+	RRC94569.1			valine--tRNA ligase	valS		EII11_09665	2727	908	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	35292	37217	+							EII11_09670	1926		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	35292	37217	+	RRC94595.1			long-chain fatty acid--CoA ligase			EII11_09670	1926	641	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	37470	39329	+							EII11_09675	1860		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	37470	39329	+	RRC94570.1			phosphoenolpyruvate carboxykinase (GTP)			EII11_09675	1860	619	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	39558	39911	-							EII11_09680	354		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	39558	39911	-	RRC94571.1			chorismate mutase			EII11_09680	354	117	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	39999	41249	-					clpX		EII11_09685	1251		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	39999	41249	-	RRC94572.1			ATP-dependent Clp protease ATP-binding subunit ClpX	clpX		EII11_09685	1251	416	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	41466	42668	+							EII11_09690	1203		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	41466	42668	+	RRC94573.1			ROK family transcriptional regulator			EII11_09690	1203	400	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	42679	43980	+							EII11_09695	1302		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	42679	43980	+	RRC94574.1			extracellular solute-binding protein			EII11_09695	1302	433	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	44056	44964	+							EII11_09700	909		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	44056	44964	+	RRC94575.1			sugar ABC transporter permease			EII11_09700	909	302	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	44961	45851	+							EII11_09705	891		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	44961	45851	+	RRC94576.1			carbohydrate ABC transporter permease			EII11_09705	891	296	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	45922	47295	+							EII11_09710	1374		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	45922	47295	+	RRC94577.1			alpha-L-fucosidase			EII11_09710	1374	457	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	47320	48504	+							EII11_09715	1185		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	47320	48504	+	RRC94578.1			gfo/Idh/MocA family oxidoreductase			EII11_09715	1185	394	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	48663	49310	-							EII11_09720	648		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	48663	49310	-	RRC94579.1			ATP-dependent Clp protease proteolytic subunit			EII11_09720	648	215	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	49313	49918	-							EII11_09725	606		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	49313	49918	-	RRC94596.1			ATP-dependent Clp protease proteolytic subunit			EII11_09725	606	201	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	50403	51719	-							EII11_09730	1317		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	50403	51719	-	RRC94580.1			trigger factor			EII11_09730	1317	438	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	52004	52843	+							EII11_09735	840		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	52004	52843	+	RRC94581.1			GNAT family N-acetyltransferase			EII11_09735	840	279	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	52881	55589	-							EII11_09740	2709		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	52881	55589	-	RRC94582.1			DEAD/DEAH box helicase			EII11_09740	2709	902	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	55597	56370	-							EII11_09745	774		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	55597	56370	-	RRC94583.1			TetR/AcrR family transcriptional regulator			EII11_09745	774	257	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	56435	57820	+							EII11_09750	1386		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	56435	57820	+	RRC94584.1			hypothetical protein			EII11_09750	1386	461	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	57817	59460	+							EII11_09755	1644		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	57817	59460	+	RRC94585.1			ABC transporter ATP-binding protein			EII11_09755	1644	547	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	59715	59954	-							EII11_09760	240		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	59715	59954	-	RRC94586.1			hypothetical protein			EII11_09760	240	79	
gene	tRNA	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	60258	60331	-							EII11_09765	74		
tRNA		GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	60258	60331	-				tRNA-Gly			EII11_09765	74		anticodon=TCC
gene	tRNA	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	60452	60525	+							EII11_09770	74		
tRNA		GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	60452	60525	+				tRNA-Pro			EII11_09770	74		anticodon=TGG
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	60605	61180	+							EII11_09775	576		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	60605	61180	+	RRC94587.1			N-acetyltransferase			EII11_09775	576	191	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	61218	61607	+							EII11_09780	390		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	61218	61607	+	RRC94588.1			VOC family protein			EII11_09780	390	129	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	61718	62074	-							EII11_09785	357		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	61718	62074	-	RRC94589.1			transcriptional regulator			EII11_09785	357	118	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	62067	62591	-							EII11_09790	525		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	62067	62591	-	RRC94590.1			hypothetical protein			EII11_09790	525	174	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	62716	63126	-							EII11_09795	411		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000013.1	62716	63126	-	RRC94591.1			hypothetical protein			EII11_09795	411	136	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	1028	1771	+							EII11_09800	744		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	1028	1771	+	RRC94504.1			hypothetical protein			EII11_09800	744	247	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	2236	3684	-							EII11_09805	1449		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	2236	3684	-	RRC94505.1			cysteine--tRNA ligase			EII11_09805	1449	482	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	3695	4507	-							EII11_09810	813		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	3695	4507	-	RRC94506.1			heme ABC transporter ATP-binding protein			EII11_09810	813	270	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	4508	5611	-							EII11_09815	1104		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	4508	5611	-	RRC94507.1			iron ABC transporter permease			EII11_09815	1104	367	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	5608	6717	-							EII11_09820	1110		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	5608	6717	-	RRC94508.1			hemin ABC transporter substrate-binding protein			EII11_09820	1110	369	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	6830	10798	-							EII11_09825	3969		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	6830	10798	-	RRC94509.1			hypothetical protein			EII11_09825	3969	1322	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	11025	11525	+							EII11_09830	501		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	11025	11525	+	RRC94510.1			2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase			EII11_09830	501	166	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	11714	13132	-							EII11_09835	1419		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	11714	13132	-	RRC94511.1			MFS transporter			EII11_09835	1419	472	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	13267	14049	-							EII11_09840	783		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	13267	14049	-	RRC94512.1			2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase			EII11_09840	783	260	
gene	pseudogene	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	14186	14671	-							EII11_09845	486		pseudo
CDS	without_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	14186	14671	-				CarD family transcriptional regulator			EII11_09845	486		pseudo
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	14801	15487	-							EII11_09850	687		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	14801	15487	-	RRC94513.1			DNA-binding response regulator			EII11_09850	687	228	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	15484	16644	-							EII11_09855	1161		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	15484	16644	-	RRC94514.1			GHKL domain-containing protein			EII11_09855	1161	386	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	16850	17587	-							EII11_09860	738		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	16850	17587	-	RRC94515.1			phosphoglyceromutase			EII11_09860	738	245	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	17762	18103	-							EII11_09865	342		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	17762	18103	-	RRC94516.1			Lsr2 family protein			EII11_09865	342	113	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	18351	18797	+							EII11_09870	447		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	18351	18797	+	RRC94517.1			GNAT family N-acetyltransferase			EII11_09870	447	148	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	18960	19949	-							EII11_09875	990		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	18960	19949	-	RRC94518.1			sortase			EII11_09875	990	329	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	20036	21706	-							EII11_09880	1671		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	20036	21706	-	RRC94519.1			LPXTG cell wall anchor domain-containing protein			EII11_09880	1671	556	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	21750	26522	-							EII11_09885	4773		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	21750	26522	-	RRC94520.1			hypothetical protein			EII11_09885	4773	1590	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	26933	27787	-							EII11_09890	855		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	26933	27787	-	RRC94521.1			aldo/keto reductase			EII11_09890	855	284	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	27847	29148	+							EII11_09895	1302		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	27847	29148	+	RRC94522.1			M18 family aminopeptidase			EII11_09895	1302	433	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	29348	30916	-							EII11_09900	1569		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	29348	30916	-	RRC94523.1			transporter			EII11_09900	1569	522	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	31079	32038	+							EII11_09905	960		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	31079	32038	+	RRC94524.1			DUF2510 domain-containing protein			EII11_09905	960	319	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	32028	32474	+							EII11_09910	447		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	32028	32474	+	RRC94525.1			RNA-binding S4 domain-containing protein			EII11_09910	447	148	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	32547	33407	+							EII11_09915	861		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	32547	33407	+	RRC94526.1			aldo/keto reductase			EII11_09915	861	286	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	33528	33965	+							EII11_09920	438		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	33528	33965	+	RRC94527.1			ACT domain-containing protein			EII11_09920	438	145	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	34196	35320	-							EII11_09925	1125		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	34196	35320	-	RRC94528.1			NADH:flavin oxidoreductase/NADH oxidase			EII11_09925	1125	374	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	35362	36684	+							EII11_09930	1323		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	35362	36684	+	RRC94529.1			DUF4921 family protein			EII11_09930	1323	440	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	36707	37804	-							EII11_09935	1098		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	36707	37804	-	RRC94530.1			hypothetical protein			EII11_09935	1098	365	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	38048	38314	+							EII11_09940	267		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	38048	38314	+	RRC94531.1			DUF4235 domain-containing protein			EII11_09940	267	88	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	38502	46196	-							EII11_09945	7695		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	38502	46196	-	RRC94532.1			DUF11 domain-containing protein			EII11_09945	7695	2564	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	46539	46892	-							EII11_09950	354		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	46539	46892	-	RRC94533.1			hypothetical protein			EII11_09950	354	117	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	46892	47494	-							EII11_09955	603		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	46892	47494	-	RRC94534.1			RloB domain-containing protein			EII11_09955	603	200	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	47482	48816	-							EII11_09960	1335		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	47482	48816	-	RRC94535.1			ATP-binding protein			EII11_09960	1335	444	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	49007	51385	-					purL		EII11_09965	2379		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	49007	51385	-	RRC94536.1			phosphoribosylformylglycinamidine synthase subunit PurL	purL		EII11_09965	2379	792	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	51568	52275	-					purQ		EII11_09970	708		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	51568	52275	-	RRC94537.1			phosphoribosylformylglycinamidine synthase subunit PurQ	purQ		EII11_09970	708	235	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	52272	52541	-							EII11_09975	270		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	52272	52541	-	RRC94538.1			phosphoribosylformylglycinamidine synthase subunit PurS			EII11_09975	270	89	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	52641	53564	-							EII11_09980	924		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	52641	53564	-	RRC94541.1			phosphoribosylaminoimidazolesuccinocarboxamide synthase			EII11_09980	924	307	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	53642	54973	-					purD		EII11_09985	1332		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	53642	54973	-	RRC94539.1			phosphoribosylamine--glycine ligase	purD		EII11_09985	1332	443	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	55077	57023	-							EII11_09990	1947		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000014.1	55077	57023	-	RRC94540.1			hypothetical protein			EII11_09990	1947	648	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000015.1	219	785	-							EII11_09995	567		
